Name,edr3id,TIC,DESIID,RA(deg),DEC(deg),CLASS,Pwd,G,bp_rp,MG,AV,Teff,Teff_err,Log_g,e_logg,Chi2,RV,sample
WDJ113439.50-064420.33,3593021446282706432,902525967,39627624833617140,173.66401275984856,-6.738793664866361,DQ,0.99,18.953,0.586,13.425,0.02,,,,,,,control DQ
WDJ115305.54+005646.15,3796148080551925760,902903597,39627811878601245,178.27247838000412,0.945958053894505,DQA,1.0,19.107,-0.412,13.015,0.02,,,,,,,control DQ
WDJ083310.18+363847.01,904025332305851904,801738678,39633014484897355,128.29273091662708,36.64615601756842,DQ,0.99,18.88,0.419,13.242,0.03,,,,,,,control DQ
WDJ151203.98+695231.94,1694363498760645120,1102537792,39633489963778693,228.01741674116653,69.8757540715317,DQ,0.99,18.346,0.587,13.776,0.03,,,,,,,control DQ
WDJ150757.81+705905.50,1695243795257634816,1102548387,39633498062981167,226.99011067354903,70.98481343130099,DQ:,1.0,19.793,0.612,14.197,0.04,,,,,,,control DQ
WDJ142535.91+471412.62,1506733935425208832,1001077132,39633204419756394,216.39955684737484,47.23703952940413,DQ:,0.99,19.692,0.328,13.203,0.04,,,,,,,control DQ
WDJ015756.65-051541.73,2491726994761425920,630210348,39627658492908960,29.486343299873184,-5.261604986968671,DQA,1.0,19.874,-0.226,13.032,0.03,,,,,,,control DQ
WDJ172725.31+211651.95,4555293235271174144,1507058093,39628291262386725,261.8553506337934,21.281014353391026,DQ,1.0,19.11,0.768,14.413,0.04,,,,,,,control DQ
WDJ163837.83+360620.16,1327709218807312384,1200674361,39633001507721453,249.65732848958717,36.105712166728225,DQ:,0.99,18.853,0.537,13.558,0.04,,,,,,,control DQ
WDJ161659.09+534228.01,1428490007932338688,1201114880,39633304852368898,244.2460295951066,53.70773639254807,DQ:,0.99,19.296,0.228,12.959,0.04,,,,,,,control DQ
WDJ123534.84+391820.61,1533514911941019136,950268661,39633063017188106,188.8954598638045,39.30548981575778,DQ,1.0,17.154,0.133,12.666,0.02,,,,,,,control DQ
WDJ013238.59+143145.79,2588832017731338240,630599257,39628132080160088,23.160861654484428,14.529333043992793,DAQ,0.98,18.78,0.131,11.584,0.13,,,,,,,control DQ
WDJ155733.05+312853.10,1321482375222633216,1101617664,39628512780357594,239.38752251222272,31.480937429555567,DQ,0.99,18.449,0.418,13.257,0.04,,,,,,,control DQ
WDJ083111.96+003407.65,3077024934335043584,803708982,39627798951756881,127.79964761199275,0.5686383548711559,DQ,0.99,19.593,0.229,12.832,0.03,,,,,,,control DQ
WDJ154451.97+144223.52,1195713603807069696,1100692522,39628141395709075,236.21647166597543,14.70591480959884,DQ:,0.99,19.517,0.494,13.489,0.06,,,,,,,control DQ
WDJ151438.17+402950.74,1391868505426659584,1101855764,39633086761141536,228.658922410346,40.497401720207314,DQ,0.99,19.483,0.635,13.896,0.03,,,,,,,control DQ
WDJ014711.92-135843.93,2453225705329412608,629992335,39627450090521334,26.80015090597503,-13.97884599035356,DQ,1.0,19.76,0.682,14.244,0.01,,,,,,,control DQ
WDJ080134.23+361816.69,907000821224488832,332209334,39633004645057880,120.39219643641268,36.303963129026464,DQ,0.99,17.906,0.358,13.28,0.02,,,,,,,control DQ
WDJ150916.40-005653.57,4418428093724668928,1103423095,2305843042130593100,227.3185105845375,-0.9483922538806518,DQ:,1.0,17.783,0.686,14.159,0.01,,,,,,,control DQ
WDJ000730.94+184037.20,2797899510893221888,611485322,39628230302368571,1.8791535170858795,18.676808991104743,DQ,0.97,19.42,0.764,13.581,0.04,,,,,,,control DQ
WDJ001423.65+302214.88,2860750657849167360,611838486,39628483399256871,3.59872477984447,30.37082382763944,DQA,1.0,19.864,-0.211,13.139,0.09,,,,,,,control DQ
WDJ122854.53+480620.34,1543925264132195840,950355135,39633216335775410,187.2275119057508,48.105532807821874,DQ,0.99,19.445,0.426,13.377,0.03,,,,,,,control DQ
WDJ033458.69-135447.35,5113317823276239872,651764669,39627450526735413,53.74463780028742,-13.91344030552654,DQ,0.99,19.208,0.512,13.611,0.02,,,,,,,control DQ
WDJ183908.52+502750.49,2144883268640845824,1551177268,39633256890499161,279.7853523660491,50.46396906304184,DQ,0.99,19.61,0.067,13.097,0.06,,,,,,,control DQ
WDJ121521.00+720457.31,1690106670774144000,950759107,39633505541426160,183.8375703226148,72.0825525911941,DQ,0.99,19.353,0.362,13.169,0.03,,,,,,,control DQ
WDJ133218.81-053043.39,3631868772639703040,1002089548,39627655376541382,203.0780668316463,-5.5125790038724825,DQ,0.99,18.661,0.222,12.862,0.02,,,,,,,control DQ
WDJ000321.54+074024.88,2746017439828584448,611100134,39627971564144408,0.8399026259083925,7.673379670773012,DQ,0.98,20.413,0.433,13.323,0.15,,,,,,,control DQ
WDJ010748.20+010240.59,2537913801752406528,610785688,39627809169087985,16.950936406675332,1.04388937363691,DQ,0.99,18.564,0.563,13.704,0.02,,,,,,,control DQ
WDJ134124.34+034628.38,3713647252057777664,1002787043,39627878748390714,205.35096947784092,3.774682685587957,DQA,1.0,19.419,-0.256,12.956,0.03,,,,,,,control DQ
WDJ180253.65+275822.81,4583491624014264320,1686742674,39628439744938482,270.72336752636966,27.972645405788832,DQ:,0.99,19.271,0.196,13.299,0.08,,,,,,,control DQ
WDJ143534.18+043425.70,3668901977825958912,1002646409,39627897064915595,218.8923281981864,4.573781847569041,DQA,1.0,19.371,-0.244,12.345,0.07,,,,,,,control DQ
WDJ211324.00-061544.68,6910938589305207808,1997054529,39627639262021795,318.3501926746317,-6.262533631313644,DQ:,0.99,19.085,0.266,12.656,0.05,,,,,,,control DQ
WDJ105515.45+490411.11,832886964348421120,900363170,39633232135718239,163.81434417035084,49.06957964158034,DQ:,0.9,19.84,0.497,12.617,0.04,,,,,,,control DQ
WDJ153904.40+335231.80,1370768636772127232,1101654300,39632961645056068,234.76817978266527,33.875377913072285,DQ,0.97,19.9,0.398,12.697,0.06,,,,,,,control DQ
WDJ164234.26+080436.90,4445170067643613184,1308030032,39627981710165685,250.64282902508867,8.076589001202041,DQ,0.96,19.143,0.616,13.145,0.12,,,,,,,control DQ
WDJ230313.02+084542.76,2713866036205118464,2053039875,39628001226265582,345.8045771316384,8.7618418643752,DQ:,0.99,19.277,0.057,12.746,0.06,,,,,,,control DQ
WDJ114851.69-012612.69,3794415245931016192,902882493,39627751459655884,177.21505358114038,-1.4374328419888651,DQ,0.99,17.374,0.077,13.205,0.01,,,,,,,control DQ
WDJ130201.29+092351.96,3734180047591688192,953560366,39628016640329179,195.5056824569506,9.397469983960182,DQ,0.99,18.541,0.389,13.372,0.02,,,,,,,control DQ
WDJ064809.32+715236.01,1113063830143379968,743577629,39633505113608904,102.03884021264982,71.87597856576237,DQ,1.0,19.083,0.763,14.509,0.02,,,,,,,control DQ
WDJ033218.23-003722.32,3263359238612843008,649762032,39627773538469342,53.07596091829081,-0.6236027452379649,DQ,0.99,18.304,0.334,13.082,0.03,,,,,,,control DQ
WDJ145725.28+210747.81,1261421999231535616,1101155381,39628290675182328,224.3551662655451,21.129492307376037,DQ,0.99,18.706,0.814,14.084,0.04,,,,,,,control DQ
WDJ103103.19+570225.30,854769204245620480,841004803,39633348812866521,157.76331391961554,57.04033113201615,DQ,0.99,19.465,0.177,12.981,0.03,,,,,,,control DQ
WDJ160755.84+440726.68,1385277929651467776,1200909701,39633149667311859,241.9825485291669,44.12438076391507,DQ,0.71,19.764,1.359,14.518,0.03,,,,,,,control DQ
WDJ213503.31+000318.53,2687339493552038400,2024875379,39627790160495159,323.76406687706515,0.0548620613910295,DQ,0.99,19.118,0.539,13.703,0.02,,,,,,,control DQ
WDJ163409.03+215431.09,1297923281307805696,1200245774,39628307922162395,248.53759643592625,21.90865507580233,DQ,1.0,18.885,-0.1,12.401,0.09,,,,,,,control DQ
WDJ090748.93+174903.20,635307507975401472,800575073,39628209460874766,136.95404341076625,17.81753044763702,DQ,1.0,19.596,-0.315,11.775,0.08,,,,,,,control DQ
WDJ023945.01+002745.07,2498791288251035648,630247906,39627797475367149,39.938067325054114,0.4624586950769926,DQ,0.99,19.581,0.335,13.434,0.03,,,,,,,control DQ
WDJ152233.74+081243.85,1163751591062098432,1100211448,39627987359894285,230.64026168174544,8.21211394224902,DQA,1.0,19.885,-0.039,13.204,0.05,,,,,,,control DQ
WDJ124433.80+270923.86,3961476455699563008,954182560,2305843038724817354,191.14087017302813,27.15666462271688,DQ,0.96,18.241,0.296,12.141,0.03,,,,,,,control DQ
WDJ214023.66-101214.37,6893378426536130560,2029326090,39627543640280485,325.0988697587866,-10.204129654735503,DQ,0.99,19.731,0.338,13.118,0.03,,,,,,,control DQ
WDJ173414.86+131608.94,4494394241144881664,1505432806,39628106645907263,263.5620699130887,13.269295440505951,DQ:,0.99,19.031,0.369,13.244,0.1,,,,,,,control DQ
WDJ083921.07+084250.33,596434068217137152,800272332,39627997644328698,129.8378130393634,8.713851830975415,DQ,0.99,19.905,0.722,14.128,0.02,,,,,,,control DQ
WDJ114048.36+554251.29,844618581617620352,900442714,39633332174062125,175.20142546122193,55.71399561728982,DQ,0.99,19.42,0.472,13.154,0.03,,,,,,,control DQ
WDJ134651.65+075532.85,3721629122360001536,1002875467,39627980976165617,206.71499450690263,7.925795038190103,DQ:,1.0,19.91,0.233,13.579,0.03,,,,,,,control DQ
WDJ233500.44+153551.09,2819565387518718976,2053498144,39628160811143359,353.7518398900083,15.597329488543048,DQ:,0.99,18.978,0.197,12.541,0.08,,,,,,,control DQ
WDJ125207.43+745756.93,1691957732959636480,950781833,39633526349367339,193.02940694106277,74.96559931018862,DQ,0.97,19.35,1.53,15.362,0.03,,,,,,,control DQ
WDJ130902.46+552500.34,1564729875257064960,950458741,39633328957031568,197.259898662185,55.41674363465508,DQ,0.99,18.929,0.435,13.179,0.03,,,,,,,control DQ
WDJ140617.47+015317.52,3667342011344434688,1002621201,39627836595635471,211.5726043795423,1.8881410939743968,DQ,0.99,19.82,0.287,12.977,0.05,,,,,,,control DQ
WDJ142032.64+531624.19,1608048159488726272,1001275725,39633297348757113,215.13586387283465,53.27363781738707,DQ,0.99,19.289,0.458,13.287,0.03,,,,,,,control DQ
WDJ142402.28+030158.18,3668276832451297280,1002636185,39627860830322944,216.0089921540256,3.0332268184146676,DQ,0.93,19.201,0.858,13.532,0.03,,,,,,,control DQ
WDJ082849.76+264534.73,703973933275623808,801384879,39628410741326302,127.20719467164793,26.759502788588897,DQ,0.99,19.66,0.459,13.405,0.03,,,,,,,control DQ
WDJ221828.58-000012.17,2678703619989331456,2024673588,39627790340853914,334.61896498439063,-0.0035504333270425,DQ:,0.99,18.183,0.03,12.756,0.02,,,,,,,control DQ
WDJ071637.37+621710.78,1099452803904038272,743328071,39633412897637804,109.15531805828726,62.28615811907414,DQ,0.74,18.905,1.18,13.799,0.02,,,,,,,control DQ
WDJ212952.80-092725.93,6894125338529169408,2029345393,39627561470267589,322.4702223599524,-9.457414975156446,DQ:,0.95,19.094,0.734,13.349,0.02,,,,,,,control DQ
WDJ122636.41+330822.74,4015920728158587392,954296806,39632945857692672,186.65220792927195,33.13923215217752,DQ:,0.99,20.026,0.583,13.771,0.03,,,,,,,control DQ
WDJ223250.55+035845.32,2704122988794215424,2025261800,39627887002784572,338.21103483798197,3.979400293158553,DQ,0.95,18.545,1.167,14.648,0.02,,,,,,,control DQ
WDJ013025.59+080526.20,2566608512617202688,630483818,39627977914322619,22.60678398493616,8.090406462776098,DQ,1.0,19.503,0.521,13.836,0.03,,,,,,,control DQ
WDJ090639.24+012808.63,577035178410047616,800012517,39627823257751230,136.66356350255737,1.4686917307161824,DQ:,1.0,18.839,0.514,13.979,0.02,,,,,,,control DQ
WDJ135516.62+363612.70,1495340933377121792,1000967929,39633010714217971,208.818903484557,36.603728627238695,DQ,0.99,17.617,0.276,12.944,0.03,,,,,,,control DQ
WDJ162804.49+144938.29,4463892414201453568,1204886006,39628141571869535,247.01853697870905,14.827249816468534,DQ,0.98,20.291,0.473,13.256,0.1,,,,,,,control DQ
WDJ032054.12-071625.45,5169190159475821568,651937810,39627610778503834,50.225996791090594,-7.273792007594867,DQ,0.99,19.355,0.763,13.927,0.02,,,,,,,control DQ
WDJ162231.86-000423.01,4407670227144704000,1203780483,39627788847681094,245.63241834547637,-0.0727991178513139,DQ,1.0,19.63,0.526,13.818,0.15,,,,,,,control DQ
WDJ005246.87+022629.03,2549827285118953472,610891846,39627845344959388,13.19527218831299,2.441187781065987,DQ,0.99,19.257,0.423,13.485,0.02,,,,,,,control DQ
WDJ223027.89+231109.07,1875322226266546944,2002588583,39628337206791444,337.6164503615753,23.18610605643769,DQ:,0.99,19.894,0.572,13.671,0.06,,,,,,,control DQ
WDJ000052.45-002610.53,2449884942327523328,610560942,39627772649283184,0.2184983894820526,-0.4364769973110344,DQ,0.99,18.628,0.39,13.27,0.02,,,,,,,control DQ
WDJ162322.59+354703.47,1329458335649027584,1200704543,39632996554245892,245.84384379230485,35.78420836601099,DQ,0.99,19.708,0.37,13.465,0.04,,,,,,,control DQ
WDJ155530.19+312310.45,1321574115723174144,1101619354,39628512776159902,238.8756775290812,31.38609381956833,DQ,0.99,18.958,0.3,13.448,0.04,,,,,,,control DQ
WDJ161436.58+382930.72,1378879184294054400,1200822901,39633049595416618,243.65206276413969,38.49191325695309,DQ,0.71,20.539,0.943,13.261,0.06,,,,,,,control DQ
WDJ183138.67+542712.24,2147470316421890560,1551233525,39633315833055949,277.91110172136644,54.45352512557238,DQ:,0.99,19.762,0.316,12.812,0.06,,,,,,,control DQ
WDJ214027.28-085115.90,6893810809483853824,2029336480,39627579426078792,325.1138962206172,-8.854355870798656,DQA,1.0,19.627,-0.303,12.71,0.04,,,,,,,control DQ
WDJ234839.37-003059.58,2641890287064121344,2052728391,39627778638747484,357.16417561746175,-0.5167634889919316,DQ,0.85,19.566,1.046,13.704,0.03,,,,,,,control DQ
WDJ164417.61+234720.41,1299564508572809728,1270009652,39628346958548279,251.0734061928816,23.788942330757752,DQ:,0.99,19.713,0.047,12.708,0.11,,,,,,,control DQ
WDJ102438.07+101410.60,3876391740521240576,842361116,39628033857946039,156.1583872812461,10.236253732817104,DQ:,0.98,20.165,0.525,13.869,0.03,,,,,,,control DQ
WDJ071721.93+421748.37,949721447873160832,742212693,39633117081768494,109.34150500981528,42.29661991616894,DQ,0.98,19.757,0.688,13.632,0.04,,,,,,,control DQ
WDJ180300.29+260738.14,4582662626607120384,1686671160,39628402067507026,270.7512286985225,26.127269191192777,DAQ,1.0,19.224,-0.219,11.866,0.18,,,,,,,control DQ
WDJ161847.38+061154.96,4438164190006955008,1204279931,39627939620325361,244.69744025436125,6.198826018007224,DQ,1.0,18.216,0.231,13.748,0.03,,,,,,,control DQ
WDJ145829.88+223040.87,1262772302588705792,1101173917,39628318743462402,224.6243897868274,22.511256264146876,DQ:,0.99,19.237,0.237,13.208,0.06,,,,,,,control DQ
WDJ174802.24+322858.21,4598164327509796352,1508154323,39632931748055660,267.0092450684693,32.482995663739935,DQ:,0.99,19.232,0.372,12.898,0.06,,,,,,,control DQ
WDJ111451.54+624851.14,862397620214830336,900543666,39633418975183378,168.71423745800098,62.81415993429941,DQ:,0.99,19.333,0.378,13.113,0.03,,,,,,,control DQ
WDJ092053.05+692645.36,1117655837377358976,841300361,39633485236800760,140.2211202906031,69.44588418782602,DQ,0.95,19.096,0.601,13.027,0.02,,,,,,,control DQ
WDJ221245.19+061323.75,2720756989109498880,2025374941,39627941096720801,333.18865348225575,6.222880335186718,DQ,0.99,19.353,0.651,13.949,0.03,,,,,,,control DQ
WDJ082032.45+112405.18,649163347350787200,800622271,39628063037723161,125.13506940044364,11.401398878740242,DQ,0.96,19.238,0.513,12.925,0.03,,,,,,,control DQ
WDJ210428.88-113200.65,6889315284394862592,35495581,39627513789422218,316.12015994453117,-11.533706644736045,DQ,0.99,17.237,0.451,13.514,0.01,,,,,,,control DQ
WDJ175631.55+372827.41,4609840522521845760,1508559267,39633030855266476,269.13154071775045,37.474496329766346,DQ,1.0,19.375,-0.121,12.803,0.06,,,,,,,control DQ
WDJ042115.09-131636.82,3176949100822241280,671564582,39627468335747707,65.31326368637254,-13.276933049410044,DQ,0.99,19.123,0.38,13.126,0.02,,,,,,,control DQ
WDJ155845.41+193619.41,1203415923278169344,1100761289,39628251231947205,239.68917170780733,19.605380291040703,DQ,0.09,20.365,0.864,10.851,0.15,,,,,,,control DQ
WDJ010957.69-031002.14,2531300479829638656,610738859,39627706509303189,17.490395648885233,-3.1673422283871178,DQ,0.99,19.819,0.381,13.511,0.02,,,,,,,control DQ
WDJ225427.13+120827.65,2718854554820810752,2053099183,39628084374148045,343.61348973340444,12.140791375717962,DQ,0.98,19.918,0.566,13.546,0.06,,,,,,,control DQ
WDJ164824.91+214910.53,4565737049547212800,1309123223,39628302364706954,252.10381994572725,21.819676706738377,DQ,0.99,19.698,0.354,13.304,0.08,,,,,,,control DQ
WDJ132433.16+491404.39,1553468024328559104,1001180525,39633236514571635,201.13759317403228,49.234541379721655,DQ:,0.99,19.454,0.304,13.004,0.03,,,,,,,control DQ
WDJ093405.41-041812.25,3825275273147308032,841914917,39627684497589582,143.52250823549377,-4.3033741583432965,DA,0.99,19.707,0.177,12.856,0.04,5383.0,146.0,7.44,0.204,0.907,-204.66,DA massive
WDJ082139.96+643140.44,1091722893563339520,802508453,39633437564339670,125.41631254621346,64.52785900575924,DA,0.99,19.853,0.259,13.183,0.03,5414.0,204.0,7.0,0.63,0.986,414.25,DA massive
WDJ125051.16+080510.02,3709819508488173568,953466694,39627980745476362,192.71287386946764,8.086152880476575,DA,0.99,19.286,0.258,13.346,0.03,5606.0,155.0,7.984,0.269,1.481,-838.74,DA massive
WDJ123026.82+800506.82,1717826256559591936,950825394,39633552786064437,187.610596206676,80.0851820070115,DA,0.99,19.822,0.21,12.991,0.04,5616.0,220.0,7.0,0.614,0.602,163.55,DA massive
WDJ123751.13+672907.13,1682218602558266368,950699313,39633467687831397,189.4626541337203,67.48534363354835,DA,1.0,20.107,0.164,13.444,0.04,5641.0,291.0,7.494,0.621,0.653,-192.28,DA massive
WDJ092223.67+382006.55,811202361665008000,840785175,39633043488509301,140.59856639868912,38.33514986134227,DA,1.0,19.658,0.302,13.692,0.02,5767.0,318.0,9.604,0.639,0.566,-178.13,DA massive
WDJ224724.95+004823.50,2653720894740627968,2052850148,39627808581881465,341.8540596884161,0.8064667416788366,DA,1.0,19.694,0.333,14.03,0.03,5817.0,308.0,7.301,0.65,0.497,-16.17,DA massive
WDJ141636.33+110404.37,1225224255378072064,1000083895,39628052644234648,214.1513763096256,11.067889370699644,DA,0.99,19.744,0.11,12.625,0.05,5819.0,251.0,8.501,0.413,0.712,665.48,DA massive
WDJ105937.62+365347.13,763149958319766912,900123797,39633019820050932,164.90662154340748,36.89637700544883,DA,0.99,19.244,0.108,12.668,0.03,6056.0,127.0,8.947,0.157,1.767,30.93,DA massive
WDJ031303.31-061600.45,5181555782638356480,651987480,39627634753148001,48.26375918831403,-6.266814210316268,DA,0.99,20.241,0.066,12.659,0.14,6103.0,278.0,7.0,0.47,0.402,244.0,DA massive
WDJ171613.17+615313.85,1438558102765204992,1271178342,39633411240887432,259.05488289156875,61.88719673595549,DA,0.99,19.099,0.165,13.141,0.04,6109.0,151.0,9.098,0.224,1.59,-774.2,DA massive
WDJ145246.08+193527.44,1237148669435362560,1101125258,39628250971898885,223.1919869666987,19.590954331664378,DA,0.99,19.297,0.252,13.442,0.05,6240.0,233.0,9.75,0.666,0.778,992.28,DA massive
WDJ165441.96+725721.44,1653662606253165568,1271322213,39633513225388619,253.6743104326244,72.95620880796488,DA,0.99,17.611,0.143,12.848,0.04,6241.0,100.0,9.75,0.148,15.195,-179.93,DA massive
WDJ001444.44-125713.38,2418127305601709568,610428909,39627473217915374,3.685442322370179,-12.953666638249898,DA,0.99,18.042,0.056,12.544,0.01,6252.0,97.0,9.75,0.129,10.66,-250.54,DA massive
WDJ231232.67+212526.53,2837784398269682176,2053813650,39628298241708093,348.1360576173105,21.42389691988301,DA,0.99,19.501,0.31,13.624,0.06,6285.0,143.0,8.883,0.211,0.46,-123.16,DA massive
WDJ133703.15-003909.43,3662595862028311552,1002548218,39627770036224351,204.26296305007685,-0.6524299951244686,DA,0.99,19.024,0.047,13.132,0.02,6339.0,114.0,9.75,0.183,2.311,34.85,DA massive
WDJ165048.39+331439.91,1314559953092226560,1270304799,39632946784635342,252.70155215445516,33.24461028608156,DA,0.99,18.324,0.125,12.717,0.04,6350.0,95.0,9.75,0.11,5.803,-645.71,DA massive
WDJ092955.65+001400.17,3840712897437879296,842103132,39627793155231860,142.48179375112142,0.2332979080856948,DA,1.0,20.479,0.347,13.889,0.03,6373.0,179.0,8.468,0.254,0.084,-436.29,DA massive
WDJ112230.52-081251.31,3591439214690034688,902503657,39627588817130036,170.62707600384903,-8.214319873039432,DA,0.99,19.94,0.203,12.931,0.04,6424.0,291.0,7.0,0.493,0.321,397.38,DA massive
WDJ142107.26-033841.50,3643220165044640768,1002270367,39627697759982320,215.27992618580416,-3.645015225247473,DA,1.0,19.501,0.296,13.61,0.05,6431.0,128.0,9.628,0.217,0.143,201.47,DA massive
WDJ012226.52+291158.09,309148035114958720,620740070,39628462612283514,20.61037143112498,29.19945605813554,DA,0.99,19.835,0.205,13.16,0.07,6499.0,188.0,9.75,0.316,0.516,-431.88,DA massive
WDJ013344.51+231257.56,290113324174546688,620498442,39628332353979827,23.435620234213967,23.215976967941845,DA,1.0,20.628,0.213,14.626,0.07,6553.0,242.0,8.269,0.458,0.076,170.16,DA massive
WDJ143653.99+062218.37,1171383335630170112,1000006819,39627939196698859,219.22509760507447,6.371711723165387,DA,0.99,19.568,0.099,13.023,0.04,6553.0,190.0,9.748,0.454,0.888,-1019.6,DA massive
WDJ071954.93+535651.33,987147311853455232,742827217,39633307096321038,109.97884391657657,53.9474975782067,DA,0.99,19.937,0.172,13.398,0.04,6565.0,122.0,9.712,0.209,0.366,56.94,DA massive
WDJ220353.01+052331.94,2696438708186007552,2025062078,39627923023464401,330.9712491389821,5.392071581341901,DA,1.0,19.764,0.08,13.529,0.04,6671.0,220.0,8.652,0.374,0.521,73.05,DA massive
WDJ210824.62-004133.72,2689069472018944000,1981896519,39627771927859384,317.10261413343164,-0.692793501046073,DA,0.99,19.65,0.287,13.48,0.04,6678.0,190.0,7.116,0.255,0.507,317.52,DA massive
WDJ215608.60-052203.29,2668887145817316352,2024462402,39627663505100117,329.03587883458925,-5.367643725401106,DA,0.99,18.76,0.115,12.728,0.02,6688.0,104.0,9.664,0.08,2.195,71.03,DA massive
WDJ133746.87+061635.83,3715315009333836288,1002809905,39627938949235921,204.44545815760517,6.276338059931215,DA,1.0,20.489,0.217,13.95,0.04,6699.0,225.0,9.616,0.399,0.11,6.9,DA massive
WDJ030238.21-115333.23,5159828299002029056,651864330,39627497502939127,45.65928506931706,-11.8924362030817,DA,0.99,19.758,0.287,13.436,0.03,6703.0,135.0,7.537,0.16,0.114,131.83,DA massive
WDJ220943.95-035830.30,2675297126807815680,2024618667,39627693691507301,332.43345610884785,-3.9751438775246104,DA,1.0,19.659,0.268,13.905,0.02,6711.0,144.0,9.75,0.185,0.455,73.92,DA massive
WDJ224240.81+054745.42,2706313387754757120,2053000366,39627929201672257,340.6698647654974,5.795899151100345,DA,0.99,19.57,0.252,13.266,0.05,6712.0,122.0,9.307,0.123,0.343,77.83,DA massive
WDJ090224.42+745429.10,1124186455410262912,802682407,39633526097709113,135.60148702257914,74.90799207411618,DA,0.99,19.946,0.065,12.618,0.07,6739.0,121.0,9.75,0.334,0.643,-43.43,DA massive
WDJ124806.73+065815.18,3709587374092160512,953463439,39627956754059769,192.02797374683092,6.970922009254109,DA,0.99,19.941,0.33,13.442,0.03,6758.0,277.0,7.885,0.53,0.411,251.55,DA massive
WDJ013330.03+003910.69,2510148148149175296,630326435,2780969568305153,23.375120286934106,0.652957722517481,DA,0.99,19.091,0.148,12.996,0.02,6780.0,110.0,9.75,0.714,1.748,-248.06,DA massive
WDJ215947.89-075410.21,2620057147232765440,2024259974,39627597453202557,329.94949926838126,-7.902968585831376,DA,0.99,19.265,0.142,13.284,0.02,6819.0,100.0,9.75,0.267,0.91,15.52,DA massive
