datetime_str,datetime_jd,RA,DEC,V,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma
2005-Jul-24 00:00,2453575.5,211.95635,37.49002,20.15,1.141,1.234,1.452,0.846,49.538,3.858791
2005-Jul-26 00:00,2453577.5,212.08939,37.04378,20.154,1.13,1.245,1.458,0.838,50.555,3.8377143
2005-Jul-28 00:00,2453579.5,212.23483,36.5971,20.157,1.118,1.257,1.463,0.83,51.551,3.8155476
2005-Jul-30 00:00,2453581.5,212.3924,36.1502,20.16,1.106,1.268,1.469,0.822,52.529,3.7923479
2005-Aug-01 00:00,2453583.5,212.56182,35.70333,20.163,1.094,1.279,1.473,0.814,53.489,3.7681725
2005-Aug-03 00:00,2453585.5,212.74283,35.25674,20.166,1.081,1.291,1.478,0.806,54.432,3.7430797
2005-Aug-05 00:00,2453587.5,212.93511,34.81065,20.168,1.068,1.301,1.483,0.798,55.359,3.7171278
2005-Aug-07 00:00,2453589.5,213.13839,34.36532,20.17,1.055,1.312,1.487,0.79,56.272,3.6903754
2005-Aug-09 00:00,2453591.5,213.35235,33.92095,20.172,1.042,1.322,1.49,0.782,57.171,3.662881
2005-Aug-11 00:00,2453593.5,213.57667,33.47778,20.174,1.028,1.332,1.494,0.774,58.056,3.6347023
2005-Aug-13 00:00,2453595.5,213.81106,33.03601,20.176,1.014,1.342,1.497,0.767,58.928,3.6058967
2005-Aug-15 00:00,2453597.5,214.05519,32.59583,20.177,1.0,1.352,1.5,0.759,59.788,3.5765202
2005-Aug-17 00:00,2453599.5,214.30875,32.15742,20.178,0.986,1.361,1.503,0.751,60.637,3.5466279
2005-Aug-19 00:00,2453601.5,214.57143,31.72093,20.179,0.971,1.37,1.506,0.743,61.474,3.5162732
2005-Aug-21 00:00,2453603.5,214.84297,31.28651,20.18,0.957,1.378,1.508,0.736,62.301,3.4855077
2005-Aug-23 00:00,2453605.5,215.12312,30.85427,20.18,0.942,1.387,1.51,0.728,63.119,3.4543809
2005-Aug-25 00:00,2453607.5,215.41166,30.42435,20.181,0.928,1.394,1.512,0.721,63.927,3.4229409
2005-Aug-27 00:00,2453609.5,215.70836,29.99688,20.181,0.913,1.402,1.514,0.713,64.727,3.391234
2005-Aug-29 00:00,2453611.5,216.01299,29.57201,20.181,0.898,1.409,1.515,0.706,65.519,3.3593055
2005-Aug-31 00:00,2453613.5,216.32534,29.14988,20.18,0.883,1.416,1.516,0.699,66.303,3.3271989
2005-Sep-02 00:00,2453615.5,216.64518,28.73064,20.18,0.869,1.423,1.517,0.691,67.08,3.2949567
2005-Sep-04 00:00,2453617.5,216.97225,28.31442,20.179,0.854,1.43,1.518,0.684,67.85,3.2626197
2005-Sep-06 00:00,2453619.5,217.30632,27.90137,20.178,0.839,1.436,1.519,0.677,68.613,3.2302271
2005-Sep-08 00:00,2453621.5,217.64714,27.49163,20.176,0.824,1.441,1.519,0.67,69.37,3.1978165
2005-Sep-10 00:00,2453623.5,217.99445,27.08531,20.175,0.81,1.447,1.52,0.663,70.122,3.1654238
2005-Sep-12 00:00,2453625.5,218.34802,26.68254,20.173,0.795,1.452,1.52,0.656,70.867,3.1330832
2005-Sep-14 00:00,2453627.5,218.70759,26.28342,20.171,0.781,1.457,1.52,0.649,71.608,3.1008272
2005-Sep-16 00:00,2453629.5,219.07293,25.88802,20.169,0.767,1.461,1.52,0.643,72.343,3.0686863
2005-Sep-18 00:00,2453631.5,219.44382,25.49644,20.167,0.752,1.465,1.519,0.636,73.073,3.0366897
2005-Sep-20 00:00,2453633.5,219.82008,25.10872,20.164,0.738,1.469,1.519,0.63,73.799,3.0048648
2005-Sep-22 00:00,2453635.5,220.20153,24.72495,20.162,0.725,1.473,1.519,0.623,74.521,2.9732379
2005-Sep-24 00:00,2453637.5,220.588,24.3452,20.159,0.711,1.476,1.518,0.617,75.239,2.9418342
2005-Sep-26 00:00,2453639.5,220.97932,23.96956,20.156,0.698,1.479,1.517,0.611,75.953,2.9106774
2005-Sep-28 00:00,2453641.5,221.37531,23.59812,20.153,0.684,1.482,1.516,0.604,76.665,2.8797903
2005-Sep-30 00:00,2453643.5,221.77579,23.23098,20.149,0.671,1.485,1.516,0.598,77.373,2.8491941
