_q,WDJname,GaiaEDR3,Pwd,TeffH,loggH,MassH,TeffHe,MassHe,Gmag,Plx
32,WDJ052658.86-702617.08,4657873757491143808,0.999744,19719.66,7.983995,0.614040,20631.37,0.676358,15.4551,11.7484
33,WDJ191850.20+333602.29,2049244315589992320,0.999799,18952.32,7.938490,0.587095,19626.07,0.644302,15.3801,12.3754
34,WDJ030350.56+060748.75,6963383233077632,0.996008,16017.65,8.759393,1.082252,14276.10,1.013647,14.9644,31.9335
35,WDJ201719.80-074819.01,4215838781344309376,0.999831,17004.67,7.956645,0.592562,17113.36,0.622472,15.0504,15.7342
36,WDJ010419.33+381655.23,370582117741262080,0.999798,16568.17,7.995172,0.613356,16478.39,0.629336,14.9912,17.0919
37,WDJ103349.20+230916.26,722446385752579840,0.998937,21184.98,8.552131,0.965918,22887.09,1.035172,15.6544,15.5375
38,WDJ093538.07-585600.61,5305472465397961856,0.999640,20804.50,7.873899,0.557479,22400.57,0.612660,15.5240,10.0629
39,WDJ193505.26-173953.55,4179983226127791232,0.999583,21776.66,8.224722,0.760991,24119.17,0.829393,15.6743,11.6292
40,WDJ080016.15+004045.91,3084314288408404224,0.986659,24391.99,8.384186,0.864844,22430.17,0.820023,15.9178,10.6462
41,WDJ080710.46-362251.69,5544588928434374016,0.999832,16500.22,7.947386,0.586248,16360.08,0.597703,14.5141,20.5233
43,WDJ235200.03-033654.01,2447341604429683200,0.999749,18160.26,7.835848,0.531048,18727.54,0.580811,15.5943,10.7238
44,WDJ213712.53+473459.98,1977625873372742016,0.999228,21625.36,8.450377,0.902958,22946.91,0.964515,16.0610,11.7691
45,WDJ213611.14-260959.43,6814117867399713792,0.999655,20948.29,8.005235,0.628752,22278.08,0.686670,14.3933,18.4791
46,WDJ041051.67+592503.39,470502504662843648,0.998942,28862.21,7.845642,0.564030,35744.25,0.656038,14.7246,10.5217
47,WDJ184225.24-780505.16,6364918198670588928,0.999766,17855.04,7.866566,0.546020,18399.23,0.596735,15.4003,12.0845
48,WDJ042839.41+165812.09,3313714023603261568,0.999436,24171.70,8.121882,0.702964,28828.98,0.756084,14.0544,20.7075
49,WDJ215225.38+022319.58,2693940725141960192,0.999810,17507.27,7.979824,0.606706,17739.19,0.646971,12.7767,44.3255
51,WDJ233738.74-411032.64,6537005065634429312,0.999767,18303.30,7.853712,0.540537,18795.24,0.588122,15.1414,13.2574
52,WDJ232337.94+341526.71,1912118310604657408,0.999760,20227.30,7.970060,0.607454,21242.89,0.667150,14.7934,15.6845
53,WDJ234331.84-882310.21,6341633291172404480,0.999315,24886.63,8.119576,0.703016,29829.10,0.752132,14.9434,13.3249
54,WDJ225510.55-631031.04,6394241555306538240,0.999754,19019.94,7.934460,0.585062,19747.37,0.643816,14.1437,21.3758
55,WDJ074735.98+210635.83,674429853974804352,0.999747,19204.66,7.945651,0.591610,19778.92,0.643478,15.7933,10.0534
56,WDJ031743.17+090955.15,14141304376849280,0.999788,19302.36,8.001042,0.622704,20166.31,0.686572,15.8405,10.3071
57,WDJ085708.32-603245.24,5301482200244955776,0.999797,17511.90,7.869700,0.546778,17876.85,0.589125,15.5234,11.6362
58,WDJ215453.40-302918.67,6616313457820826496,0.998780,28272.57,8.254840,0.790433,35030.94,0.880597,14.7016,14.4790
59,WDJ170256.34-531436.57,5923906524348891904,0.999311,15050.46,8.057725,0.646614,14722.37,0.629647,13.5259,37.4618
60,WDJ181854.22-475748.50,6706768660234603136,0.999363,24865.84,8.232972,0.771325,29981.25,0.825346,14.7081,16.1495
61,WDJ211146.39+012054.26,2690763205257368832,0.999793,15730.76,7.944132,0.582666,15519.67,0.580630,15.2368,15.3476
62,WDJ090638.59+070059.81,583995091309178624,0.999834,16840.57,7.910490,0.566815,16997.79,0.596257,15.4168,13.0500
63,WDJ083637.32-281638.66,5645707301983969792,0.999729,18766.77,7.852218,0.540992,19523.65,0.597259,15.6814,10.0753
64,WDJ212418.93+855645.12,2303857158072454912,0.999829,17306.04,7.952640,0.591023,17385.29,0.621452,15.5009,12.6958
65,WDJ113842.69-584424.06,5336404888600903680,0.999632,19845.06,8.189180,0.735668,20743.80,0.804094,15.8540,11.2252
66,WDJ235857.81-445713.44,6530974072557448064,0.999835,16927.28,7.966159,0.597709,16980.61,0.624370,15.3980,13.5411
67,WDJ101420.66-041721.08,3780111080689647488,0.998813,23985.20,8.937798,1.176333,28229.28,1.214609,16.3510,14.2029
68,WDJ002959.00+364834.86,366784816895496064,0.999229,26147.34,9.225758,1.282864,31982.88,1.372905,16.4274,17.0103
69,WDJ201501.62-565007.53,6468713986117430784,0.999762,19070.35,7.922372,0.578638,19741.64,0.634063,15.6966,10.3663
70,WDJ062117.23+370023.14,955083529860009344,0.999758,19297.87,7.981676,0.611781,19740.05,0.660259,15.7557,10.5217
71,WDJ102228.77+124159.40,3883746133280920448,0.999789,18667.14,7.996620,0.618790,19328.41,0.679105,15.6503,11.3628
72,WDJ100337.51-451553.74,5414761515997077120,0.999804,17924.47,7.896510,0.561958,18394.46,0.611045,15.5191,11.6360
73,WDJ023016.63+051550.70,2516322146457318144,0.999734,18963.25,7.871227,0.551303,19783.00,0.609889,12.8205,37.7110
74,WDJ234805.65+410215.96,1921293254101835776,0.999779,19057.08,7.967878,0.603529,19752.00,0.662637,14.6621,17.4691
75,WDJ082246.16+361412.61,904376149529962880,0.999762,18380.58,8.053927,0.651248,18840.31,0.705980,15.6055,12.2462
76,WDJ083152.65-261207.15,5646942706380434432,0.999254,17320.89,8.167920,0.718083,17174.24,0.741097,15.4470,14.9376
77,WDJ143526.31-055027.99,6331841074973988224,0.999744,17818.32,8.064494,0.656331,17886.79,0.691329,15.5199,13.1799
78,WDJ235223.18-280316.01,2334079090586541440,0.999752,17793.94,7.844271,0.534363,18397.25,0.586122,15.4785,11.5316
79,WDJ090515.08-234257.31,5651439193530469248,0.999762,18099.05,7.854441,0.540377,18595.24,0.588155,15.5113,11.2668
80,WDJ182227.62+532331.99,2148495031195001728,0.998944,26077.84,8.994091,1.201540,31843.57,1.247050,16.4648,13.2804
81,WDJ162044.87-190133.35,6245217077875966336,0.999830,17176.77,7.948109,0.588211,17308.50,0.620397,15.3838,13.3468
82,WDJ040607.08+543132.19,276192136878054656,0.999777,17014.91,8.020915,0.629150,16997.78,0.654109,15.3748,14.2576
83,WDJ092008.26-400400.80,5429478822734493440,0.999293,26722.42,8.841812,1.132483,32680.88,1.175961,16.4710,11.0557
84,WDJ120347.43-002310.94,3698872156539379968,0.999435,19856.52,8.317361,0.816208,20574.48,0.879952,15.1749,16.8534
85,WDJ104346.70-390637.35,5394487930327131904,0.999325,25714.24,7.982158,0.626825,30953.43,0.721633,15.1654,10.5697
86,WDJ085047.51+172602.06,659815519079378048,0.999694,19191.33,8.128762,0.697479,19847.78,0.760541,14.6985,18.8824
87,WDJ053343.43-271350.08,2908425653829891712,0.998768,22766.74,9.046049,1.221218,24078.04,1.251129,15.6145,23.1741
88,WDJ170120.99-191527.57,4128925548277018240,0.998649,16998.43,7.478546,0.406799,17570.37,0.447030,15.2163,10.3250
89,WDJ205525.69-225720.39,6808329488436621952,0.999019,17080.90,8.318331,0.812707,16662.84,0.819313,15.3536,17.5944
90,WDJ051613.96-701934.93,4652130492854723712,0.999780,17608.45,8.017056,0.628181,17808.40,0.668346,15.4021,13.5294
91,WDJ220113.96-220714.92,6819901642159692032,0.999398,20708.49,8.303825,0.808888,21726.90,0.874596,15.8420,11.8602
92,WDJ123226.19+412919.33,1534778323816310912,0.999747,19934.42,8.037664,0.645030,20822.81,0.707325,15.7407,10.6740
93,WDJ044759.97+554609.21,274483289649153024,0.999749,18381.00,7.857497,0.542687,19007.02,0.595721,15.4980,11.2968
94,WDJ141651.40-705932.04,5845857897587393920,0.999007,16688.70,8.257538,0.773304,16299.83,0.776509,15.2675,17.8384
95,WDJ200823.87-660437.71,6427468556182061312,0.999611,21383.74,8.151439,0.715318,23115.74,0.781295,15.8911,10.0831
96,WDJ084747.35-731249.75,5220278009486912896,0.999788,17031.04,7.864348,0.542763,17250.42,0.575639,15.2661,13.3488
97,WDJ152131.86+381246.36,1387655524762487552,0.999737,20329.20,8.014291,0.632498,21419.84,0.695411,15.7706,10.1893
98,WDJ003340.89+555145.28,418638094507223040,0.999757,19947.04,8.008713,0.628485,20875.29,0.690550,15.7369,10.5592
99,WDJ092224.63-314137.16,5631320707728182016,0.999755,18702.14,7.927437,0.580482,19328.91,0.636310,15.5224,11.4451
100,WDJ213333.32+352925.65,1950617847697475584,0.999197,25728.22,8.668154,1.038981,31138.20,1.100965,16.3505,10.6120
101,WDJ000538.55-600031.75,4905957459355567232,0.999739,18657.28,8.070397,0.661506,19224.15,0.720925,15.5112,12.7077
102,WDJ042842.36-100448.40,3179499250541535744,0.999793,18021.29,7.994991,0.616439,18324.19,0.662161,15.4006,13.0814
103,WDJ001717.99-192013.05,2365377406330609920,0.999804,16307.43,7.932254,0.577437,16302.69,0.593280,15.1194,15.5827
104,WDJ180228.51+005918.54,4467742388527832192,0.999771,16033.80,7.984384,0.606032,15935.66,0.614853,15.0779,16.7040
105,WDJ205109.94-753824.15,6369383521548568576,0.999444,23075.50,8.417504,0.884064,27029.86,0.946947,16.0308,10.8209
106,WDJ060308.63+451828.83,962995581174346112,0.999722,16177.39,8.000557,0.615604,16033.36,0.623877,15.1074,16.5820
107,WDJ151103.63+765348.60,1702044691288290304,0.999816,16538.72,7.929742,0.576589,16506.19,0.594087,15.1456,15.2506
108,WDJ073504.07-794410.69,5208047381438507520,0.999502,28583.15,8.891634,1.157570,35562.00,1.195185,16.5643,10.3760
109,WDJ203645.86-251440.75,6800380775284148864,0.999805,15558.83,7.916136,0.566819,15329.60,0.561228,15.0734,16.3840
110,WDJ210428.02-031344.84,6915911134936982784,0.999754,19793.48,7.935742,0.587625,20779.55,0.648737,15.7283,10.0127
111,WDJ050940.99+015308.63,3234818257515161856,0.999649,20307.19,8.164513,0.721308,21212.13,0.786036,15.0628,15.6013
112,WDJ043659.47+253547.49,147985404582267648,0.999507,23987.19,8.330264,0.830409,28538.10,0.886713,15.7465,11.2870
113,WDJ040223.78+320153.80,170065281698249728,0.998608,26379.97,7.761538,0.518204,31931.77,0.608969,14.8947,10.1413
114,WDJ031719.13-853231.29,4613612951211823616,0.998857,16532.97,8.378495,0.850424,15921.34,0.840121,14.0786,34.0212
115,WDJ031715.85-853225.56,4613612951211823104,0.999601,26465.00,9.171159,1.266470,32734.45,1.339865,14.7545,34.0351
116,WDJ013139.22-201958.63,5043926824108837376,0.999731,19722.72,7.909858,0.573546,20627.48,0.631461,15.3252,11.8532
