rank,desig,lane_label,rank_score,searchability,value,H,a,nopp,arc_days,lastobs_year,best_epoch,best_V,best_SMIA,best_SMAA,n_pass_epochs,deep_fp,decam,ps1,cfht,hsc,vvs,ztf
16,2025 LK2,distant-longarc,0.5566,0.6549,0.85,6.35,43.5,1,109,2025,2021-01-01,23.02,5.92,235.06,4,1081,677,160,36,0,30,152
17,2025 NE192,distant-longarc,0.5565,0.6547,0.85,6.27,43.97,1,145,2025,2021-01-01,23.05,5.82,91.55,4,535,141,117,18,0,96,137
18,2001 KQ77,distant-multiopp,0.5538,0.8277,0.6691,7.1,39.34,5,,2009,2005-07-01,22.77,0.47,0.61,4,543,25,131,41,0,234,83
19,2025 NZ189,distant-longarc,0.5497,0.6467,0.85,6.07,43.93,1,83,2025,2021-01-01,22.22,14.26,169.26,4,867,481,163,62,0,28,97
20,2010 JK124,distant-multiopp,0.5476,0.9471,0.5782,5.35,40.26,4,,2014,2013-01-01,21.66,0.2,0.86,4,419,184,92,1,0,107,0
21,2002 KW14,distant-multiopp,0.546,0.975,0.56,5.51,46.51,10,,2015,2013-01-01,21.83,0.11,0.27,4,725,423,139,14,1,81,53
22,2005 LB54,distant-multiopp,0.539,0.9625,0.56,5.7,43.5,8,,2015,2013-01-01,22.06,0.11,0.22,4,1034,420,143,62,0,370,27
23,2014 JU80,distant-multiopp,0.5386,0.9618,0.56,5.7,53.09,6,,2015,2013-01-01,21.99,0.11,0.16,4,280,73,120,0,0,36,39
24,2010 GF65,distant-multiopp,0.5369,1.0254,0.5236,7.28,33.15,8,,2017,2013-01-01,21.54,0.06,0.1,4,740,305,103,0,0,294,0
25,2005 JJ186,distant-multiopp,0.5345,0.8211,0.6509,6.6,44.44,4,,2010,2005-07-01,22.89,0.47,0.65,4,588,197,108,57,1,135,65
26,2025 LP3,distant-longarc,0.532,0.6259,0.85,6.28,45.73,1,103,2025,2021-01-01,22.64,7.38,374.93,3,589,167,168,33,0,50,144
27,2025 LM3,distant-longarc,0.5263,0.6192,0.85,6.25,43.78,1,103,2025,2021-01-01,22.83,6.88,343.47,3,648,239,176,0,38,76,131
28,2025 LY2,distant-longarc,0.5259,0.6187,0.85,6.6,42.46,1,103,2025,2021-01-01,23.08,10.03,281.14,4,844,465,199,46,0,26,86
29,2013 LY35,distant-multiopp,0.5255,0.9384,0.56,6.0,42.49,6,,2015,2013-01-01,22.38,0.12,0.35,4,498,206,106,1,0,144,4
30,05145,inner-system,0.5222,1.0331,0.5055,7.06,20.29,30,,2018,2013-01-01,21.28,0.07,0.07,4,350,74,103,0,1,21,122
31,2008 HY21,inner-system,0.5195,0.8454,0.6145,12.2,10.96,4,,2012,2005-07-01,21.3,0.42,1.91,2,627,130,94,37,13,85,241
32,2012 HG84,distant-multiopp,0.5158,0.9851,0.5236,5.54,42.87,8,,2017,2013-01-01,21.82,0.09,0.14,4,1011,530,111,13,0,282,41
33,2014 KY101,distant-multiopp,0.5116,0.9771,0.5236,6.49,39.24,7,,2017,2013-01-01,22.0,0.09,0.16,4,643,161,104,3,0,72,282
34,2014 KT101,distant-multiopp,0.509,0.9394,0.5418,6.8,41.88,5,,2016,2013-01-01,22.13,0.14,0.18,4,1902,635,125,1,2,948,157
35,2025 NR189,distant-longarc,0.5063,0.5957,0.85,5.97,45.68,1,74,2025,2021-01-01,22.9,9.43,651.3,3,559,117,154,23,22,64,162
36,2011 SR250,inner-system,0.5043,0.8205,0.6145,12.7,11.15,4,,2012,2013-01-01,22.52,0.2,0.35,2,421,4,134,14,0,0,269
37,2007 UM126,inner-system,0.4995,0.9882,0.5055,10.32,12.91,14,,2018,2013-01-01,21.99,0.07,0.11,4,668,329,139,25,0,36,85
38,2025 NR192,distant-longarc,0.499,0.587,0.85,6.2,43.49,1,75,2025,2021-01-01,22.52,8.42,813.68,2,621,222,153,17,0,72,110
39,2025 ND189,distant-longarc,0.4984,0.5864,0.85,5.82,45.42,1,76,2025,2021-01-01,22.66,13.69,686.93,3,455,126,179,20,0,24,65
40,2025 NO191,distant-longarc,0.4973,0.5851,0.85,6.7,39.16,1,74,2025,2021-01-01,22.96,10.51,709.77,3,531,54,156,17,0,152,123
41,2008 SJ236,inner-system,0.4965,0.8866,0.56,12.3,10.91,9,,2015,2005-07-01,22.11,0.1,0.86,2,752,426,137,37,9,57,81
42,2025 MT350,distant-longarc,0.4958,0.5833,0.85,6.13,42.84,1,74,2025,2021-01-01,22.81,12.4,661.93,3,492,99,136,11,0,48,164
43,2014 CN23,inner-system,0.4949,0.945,0.5236,8.89,16.28,9,,2017,2013-01-01,22.34,0.11,0.15,4,803,530,132,16,0,73,8
44,2005 LA54,distant-multiopp,0.4948,0.8298,0.5964,6.5,44.13,4,,2013,2005-07-01,22.79,0.45,0.55,4,1263,729,106,59,10,292,24
45,2025 LX2,distant-longarc,0.4923,0.5792,0.85,6.33,43.06,1,85,2025,2021-01-01,22.94,11.78,607.51,3,453,94,196,9,0,36,92
46,2014 KS101,distant-multiopp,0.4893,0.9344,0.5236,6.5,38.33,7,,2017,2013-01-01,22.43,0.12,0.14,4,766,445,113,3,1,25,147
47,2014 KC102,distant-multiopp,0.4891,0.9341,0.5236,7.1,39.13,7,,2017,2013-01-01,22.28,0.14,0.19,4,627,272,144,0,2,90,99
48,2004 HF79,distant-multiopp,0.4882,0.901,0.5418,6.44,43.12,7,,2016,2013-01-01,22.88,0.13,0.35,4,902,295,123,119,10,260,44
49,2025 NA189,distant-longarc,0.4881,0.5743,0.85,6.45,43.94,1,83,2025,2021-01-01,22.8,14.46,168.17,3,585,239,181,1,0,24,96
50,2025 NW189,distant-longarc,0.4862,0.572,0.85,5.94,44.32,1,75,2025,2021-01-01,22.64,9.59,829.06,2,589,162,146,42,2,46,162
51,2025 NJ190,distant-longarc,0.4859,0.5717,0.85,6.39,43.04,1,77,2025,2021-01-01,22.74,16.0,396.2,3,517,161,170,13,0,24,101
52,2015 HT171,inner-system,0.4856,0.9274,0.5236,12.4,11.49,7,,2017,2017-07-01,22.0,0.11,0.13,3,506,301,92,42,0,54,0
53,2025 LC3,distant-longarc,0.4854,0.5711,0.85,6.6,42.43,1,103,2025,2021-01-01,23.1,11.57,479.7,3,1031,676,178,0,0,24,131
54,2009 QV38,inner-system,0.4834,0.8632,0.56,12.0,10.78,5,,2015,2017-07-01,23.11,0.11,0.58,3,610,283,167,18,0,0,136
55,2025 ND193,distant-longarc,0.4808,0.5657,0.85,6.4,43.58,1,77,2025,2021-01-01,22.78,16.97,322.85,3,1211,749,129,195,0,24,86
56,2002 VB131,distant-multiopp,0.4802,0.8051,0.5964,6.4,43.31,6,,2013,2005-07-01,23.09,0.5,1.32,4,429,141,111,13,10,10,118
57,2007 HV90,distant-multiopp,0.48,0.8859,0.5418,6.6,43.84,6,,2016,2013-01-01,22.95,0.16,0.46,4,2584,2103,120,6,0,287,45
58,2012 CN29,inner-system,0.4777,0.562,0.85,14.8,6.46,1,67,2012,2013-01-01,22.0,11.21,104.46,1,347,102,53,22,6,6,109
59,2013 JV63,distant-multiopp,0.4771,0.8805,0.5418,6.5,46.29,6,,2016,2013-01-01,23.12,0.15,0.28,4,736,564,105,11,0,24,1
60,2025 LL3,distant-longarc,0.4764,0.5605,0.85,6.31,43.76,1,79,2025,2021-01-01,22.88,9.25,845.8,2,528,98,183,15,0,42,154
61,2025 NK192,distant-longarc,0.476,0.5601,0.85,6.35,43.17,1,74,2025,2021-01-01,23.13,13.38,730.67,3,451,72,136,56,0,48,116
62,2001 KA77,distant-multiopp,0.4754,0.8774,0.5418,5.29,47.21,9,,2016,2005-07-01,22.22,0.35,1.05,4,1147,92,90,38,0,349,528
63,2025 MR349,distant-longarc,0.4745,0.5583,0.85,6.24,44.17,1,74,2025,2021-01-01,22.91,16.97,724.77,3,423,118,173,16,0,0,92
64,2017 GZ8,inner-system,0.4711,0.8997,0.5236,14.4,7.49,3,,2017,2017-07-01,21.1,0.12,0.22,1,759,145,88,9,3,102,364
65,2003 QF113,distant-multiopp,0.4703,0.7887,0.5964,6.53,43.77,6,,2013,2005-07-01,22.92,0.76,1.61,4,526,148,135,23,0,36,139
66,2004 VF131,distant-multiopp,0.4687,0.7006,0.6691,6.8,43.85,6,,2009,2005-07-01,23.24,0.39,1.09,1,565,12,117,33,22,22,193
67,2000 KK4,distant-multiopp,0.4687,0.8951,0.5236,6.25,41.11,9,,2017,2017-07-01,22.81,0.15,0.23,4,310,49,98,0,0,0,137
68,2008 SO218,inner-system,0.4675,0.8928,0.5236,12.9,8.11,8,,2017,2013-01-01,22.1,0.09,0.14,2,986,385,106,58,36,226,117
69,2025 MF350,distant-longarc,0.4673,0.5497,0.85,5.96,47.66,1,68,2025,2021-01-01,22.54,15.01,1120.45,2,571,130,149,21,0,60,168
70,2013 SO107,inner-system,0.4672,0.7834,0.5964,14.23,6.77,3,,2013,2013-01-01,22.14,0.28,0.91,1,313,79,83,29,2,2,120
71,2025 OF345,distant-longarc,0.4624,0.5441,0.85,5.61,43.03,1,82,2025,2021-01-01,22.09,82.68,138.76,4,782,404,149,3,51,79,109
72,2025 NK190,distant-longarc,0.4602,0.5414,0.85,5.83,46.1,1,74,2025,2021-01-01,22.75,25.84,680.38,3,774,472,134,1,0,36,104
73,2004 OL12,distant-longarc,0.4593,0.5404,0.85,6.1,43.63,1,64,2004,2005-07-01,22.53,9.64,2289.79,1,487,127,200,13,0,36,97
74,2002 PQ152,inner-system,0.4572,0.8731,0.5236,9.14,25.85,10,,2017,2013-01-01,22.93,0.2,0.53,4,600,107,139,14,0,0,338
75,2012 DD61,inner-system,0.456,0.7887,0.5782,13.3,7.51,3,,2014,2017-07-01,23.04,0.21,8.23,2,528,67,77,7,0,27,325
76,2025 MB350,distant-longarc,0.4516,0.5313,0.85,5.83,45.42,1,67,2025,2021-01-01,23.05,12.61,1086.78,2,607,209,186,10,0,36,139
77,2014 KM122,inner-system,0.4504,0.8601,0.5236,14.23,6.29,4,,2017,2013-01-01,22.3,0.13,7.78,2,614,251,99,1,0,0,216
78,2009 UF156,distant-multiopp,0.4501,0.7547,0.5964,6.5,43.1,5,,2013,2013-01-01,22.93,1.3,4.31,4,486,168,101,3,14,17,183
79,2015 BW524,inner-system,0.4495,0.8584,0.5236,14.43,6.85,3,,2017,2017-07-01,21.58,0.26,0.55,2,1905,673,112,61,142,966,60
80,2025 LR3,distant-longarc,0.4392,0.5168,0.85,5.95,44.05,1,69,2025,2021-01-01,22.7,22.01,855.29,2,2715,2326,208,6,0,24,130
81,2025 MZ348,distant-longarc,0.4317,0.5079,0.85,4.64,47.66,1,69,2025,2021-01-01,22.3,66.77,627.54,3,614,141,153,16,0,204,73
82,2014 FU61,inner-system,0.4315,0.7706,0.56,13.51,9.15,3,,2015,2013-01-01,21.74,0.93,31.62,2,714,315,94,63,0,160,0
83,2025 NU189,distant-longarc,0.4288,0.5045,0.85,6.07,41.29,1,69,2025,2021-01-01,22.79,24.54,1394.36,2,542,216,144,32,0,48,63
84,2014 SV349,distant-multiopp,0.4279,0.7642,0.56,5.1,61.1,3,,2015,2013-01-01,23.27,0.45,0.91,3,619,303,44,102,0,136,0
85,2001 RX143,distant-multiopp,0.4268,0.8151,0.5236,6.61,39.42,11,,2017,2013-01-01,23.16,0.22,0.4,3,701,104,116,153,6,6,299
86,2008 VK110,inner-system,0.4266,0.6554,0.6509,14.06,7.17,3,,2010,2005-07-01,22.62,1.41,11.53,1,1826,1363,108,8,0,244,44
87,2014 UE225,distant-multiopp,0.4256,0.8128,0.5236,6.42,43.86,6,,2017,2013-01-01,23.26,0.38,0.56,4,617,88,101,119,15,25,271
88,2025 LG3,distant-longarc,0.4236,0.4983,0.85,6.32,44.04,1,109,2025,2021-01-01,22.93,13.04,2724.28,1,466,75,161,36,0,36,134
89,2006 HW122,distant-multiopp,0.4205,0.751,0.56,6.67,45.3,4,,2015,2013-01-01,23.29,0.54,1.83,3,1017,490,81,153,4,193,42
90,2005 JZ174,distant-multiopp,0.4198,0.7749,0.5418,6.7,42.49,4,,2016,2005-07-01,23.14,0.78,1.18,4,907,519,130,18,17,123,76
91,2001 KE76,distant-multiopp,0.4161,0.7946,0.5236,6.68,42.8,6,,2017,2005-07-01,23.11,0.58,1.49,4,1440,682,136,38,11,271,284
92,2004 QD29,distant-multiopp,0.4155,0.6968,0.5964,6.94,42.98,6,,2013,2005-07-01,23.13,0.45,0.78,1,520,113,146,58,0,36,109
93,2002 PP149,distant-multiopp,0.4111,0.785,0.5236,6.9,40.97,7,,2017,2005-07-01,22.94,0.8,3.47,4,991,404,112,33,0,180,215
94,2025 NN191,distant-longarc,0.4033,0.4745,0.85,6.61,42.51,1,74,2025,2021-01-01,22.78,40.03,922.22,2,663,174,178,60,0,120,95
95,2014 YK92,distant-multiopp,0.4007,0.7155,0.56,7.16,40.01,2,,2015,2013-01-01,23.05,2.18,29.97,4,398,224,128,0,0,32,0
96,2015 SW20,distant-multiopp,0.3973,0.7333,0.5418,6.41,43.68,3,,2016,2017-07-01,22.94,1.83,6.0,4,954,471,118,25,4,52,196
97,2002 GD32,distant-multiopp,0.3961,0.7074,0.56,6.12,44.39,6,,2015,2005-07-01,23.28,0.61,1.93,2,936,623,100,97,0,30,58
98,2003 UC414,inner-system,0.3926,0.4619,0.85,8.32,26.09,1,58,2003,2005-07-01,23.01,21.68,2588.94,1,987,212,164,75,9,324,190
99,2015 KU178,distant-multiopp,0.3829,0.6837,0.56,6.8,40.13,2,,2015,2005-07-01,22.93,4.09,22.12,4,496,284,116,25,0,32,0
100,2015 KL419,distant-multiopp,0.3563,0.6576,0.5418,6.97,40.39,2,,2016,2013-01-01,23.29,4.42,119.13,4,2519,1923,102,41,110,284,94
101,2014 QJ562,distant-multiopp,0.3458,0.6382,0.5418,7.42,37.88,3,,2016,2017-07-01,23.27,1.86,11.46,2,993,890,0,4,0,81,0
102,2003 KO20,distant-multiopp,0.3181,0.5871,0.5418,6.6,43.79,4,,2016,2017-07-01,23.28,2.29,2.71,1,1256,724,93,40,9,276,89
103,2018 JB15,inner-system,0.2252,0.265,0.85,15.19,6.05,1,43,2018,2017-07-01,22.93,546.81,893.41,1,350,163,136,9,21,21,10
