desig,lane,single,H,a,vidx,lastobs_year,epoch,jd,V,SMAA_3sigma_as,SMIA_3sigma_as,epoch_pass,redflag
2004 VF131,distant,False,6.8,43.85,23.22,2009,2005-07-01,2453552.5,23.239,1.09,0.39,1,
2004 VF131,distant,False,6.8,43.85,23.22,2009,2013-01-01,2456293.5,23.319,4.56,1.85,0,
2004 VF131,distant,False,6.8,43.85,23.22,2009,2017-07-01,2457935.5,23.465,9.41,2.77,0,
2004 VF131,distant,False,6.8,43.85,23.22,2009,2021-01-01,2459215.5,23.451,14.67,3.62,0,
2005 JJ186,distant,False,6.6,44.44,23.08,2010,2005-07-01,2453552.5,22.891,0.65,0.47,1,
2005 JJ186,distant,False,6.6,44.44,23.08,2010,2013-01-01,2456293.5,22.906,4.72,0.56,1,
2005 JJ186,distant,False,6.6,44.44,23.08,2010,2017-07-01,2457935.5,22.76,17.71,1.1,1,
2005 JJ186,distant,False,6.6,44.44,23.08,2010,2021-01-01,2459215.5,22.829,34.45,1.44,1,
2002 VB131,distant,False,6.4,43.31,22.77,2013,2005-07-01,2453552.5,23.095,1.32,0.5,1,
2002 VB131,distant,False,6.4,43.31,22.77,2013,2013-01-01,2456293.5,23.069,2.0,1.34,1,
2002 VB131,distant,False,6.4,43.31,22.77,2013,2017-07-01,2457935.5,23.109,4.73,1.96,1,
2002 VB131,distant,False,6.4,43.31,22.77,2013,2021-01-01,2459215.5,23.06,6.81,2.52,1,
2009 UF156,distant,False,6.5,43.1,22.84,2013,2005-07-01,2453552.5,22.996,6.2,1.9,1,
2009 UF156,distant,False,6.5,43.1,22.84,2013,2013-01-01,2456293.5,22.934,4.31,1.3,1,
2009 UF156,distant,False,6.5,43.1,22.84,2013,2017-07-01,2457935.5,22.972,5.74,2.57,1,
2009 UF156,distant,False,6.5,43.1,22.84,2013,2021-01-01,2459215.5,22.901,12.26,3.79,1,
2003 QF113,distant,False,6.53,43.77,22.94,2013,2005-07-01,2453552.5,22.924,1.61,0.76,1,
2003 QF113,distant,False,6.53,43.77,22.94,2013,2013-01-01,2456293.5,23.008,1.64,1.44,1,
2003 QF113,distant,False,6.53,43.77,22.94,2013,2017-07-01,2457935.5,22.965,11.71,2.33,1,
2003 QF113,distant,False,6.53,43.77,22.94,2013,2021-01-01,2459215.5,23.022,15.78,2.93,1,
2006 HC123,distant,False,7.33,36.42,22.94,2013,2005-07-01,2453552.5,23.506,0.95,0.66,0,
2006 HC123,distant,False,7.33,36.42,22.94,2013,2013-01-01,2456293.5,23.622,1.64,1.5,0,
2006 HC123,distant,False,7.33,36.42,22.94,2013,2017-07-01,2457935.5,23.552,5.09,2.56,0,
2006 HC123,distant,False,7.33,36.42,22.94,2013,2021-01-01,2459215.5,23.648,14.06,3.02,0,
2005 LA54,distant,False,6.5,44.13,22.95,2013,2005-07-01,2453552.5,22.794,0.55,0.45,1,
2005 LA54,distant,False,6.5,44.13,22.95,2013,2013-01-01,2456293.5,22.837,1.88,1.48,1,
2005 LA54,distant,False,6.5,44.13,22.95,2013,2017-07-01,2457935.5,22.721,7.22,2.53,1,
2005 LA54,distant,False,6.5,44.13,22.95,2013,2021-01-01,2459215.5,22.802,18.48,3.12,1,
2001 UN18,distant,False,6.5,44.41,22.97,2013,2005-07-01,2453552.5,23.361,9.49,0.72,0,
2001 UN18,distant,False,6.5,44.41,22.97,2013,2013-01-01,2456293.5,23.358,9.19,1.42,0,
2001 UN18,distant,False,6.5,44.41,22.97,2013,2017-07-01,2457935.5,23.407,4.91,2.17,0,
2001 UN18,distant,False,6.5,44.41,22.97,2013,2021-01-01,2459215.5,23.37,14.14,2.83,0,
2004 QD29,distant,False,6.94,42.98,23.27,2013,2005-07-01,2453552.5,23.132,0.78,0.45,1,
2004 QD29,distant,False,6.94,42.98,23.27,2013,2013-01-01,2456293.5,23.301,1.33,1.19,0,
2004 QD29,distant,False,6.94,42.98,23.27,2013,2017-07-01,2457935.5,23.301,6.23,2.01,0,
2004 QD29,distant,False,6.94,42.98,23.27,2013,2021-01-01,2459215.5,23.398,8.97,2.48,0,
2010 JK124,distant,False,5.35,40.26,21.4,2014,2005-07-01,2453552.5,21.514,7.41,0.97,1,
2010 JK124,distant,False,5.35,40.26,21.4,2014,2013-01-01,2456293.5,21.662,0.86,0.2,1,
2010 JK124,distant,False,5.35,40.26,21.4,2014,2017-07-01,2457935.5,21.615,3.06,0.57,1,
2010 JK124,distant,False,5.35,40.26,21.4,2014,2021-01-01,2459215.5,21.733,9.71,0.93,1,
2013 TF229,distant,False,6.87,39.47,22.83,2014,2005-07-01,2453552.5,23.382,253.91,8.09,0,
2013 TF229,distant,False,6.87,39.47,22.83,2014,2013-01-01,2456293.5,23.461,9.69,1.42,0,
2013 TF229,distant,False,6.87,39.47,22.83,2014,2017-07-01,2457935.5,23.519,53.07,2.63,0,
2013 TF229,distant,False,6.87,39.47,22.83,2014,2021-01-01,2459215.5,23.524,146.72,5.64,0,
2005 LB54,distant,False,5.7,43.5,22.08,2015,2005-07-01,2453552.5,22.008,0.51,0.39,1,
2005 LB54,distant,False,5.7,43.5,22.08,2015,2013-01-01,2456293.5,22.058,0.22,0.11,1,
2005 LB54,distant,False,5.7,43.5,22.08,2015,2017-07-01,2457935.5,21.944,0.45,0.19,1,
2005 LB54,distant,False,5.7,43.5,22.08,2015,2021-01-01,2459215.5,22.027,1.36,0.32,1,
2002 KW14,distant,False,5.51,46.51,22.19,2015,2005-07-01,2453552.5,21.646,0.39,0.37,1,
2002 KW14,distant,False,5.51,46.51,22.19,2015,2013-01-01,2456293.5,21.833,0.27,0.11,1,
2002 KW14,distant,False,5.51,46.51,22.19,2015,2017-07-01,2457935.5,21.811,0.54,0.21,1,
2002 KW14,distant,False,5.51,46.51,22.19,2015,2021-01-01,2459215.5,21.956,1.05,0.33,1,
2013 LY35,distant,False,6.0,42.49,22.28,2015,2005-07-01,2453552.5,22.361,3.3,0.64,1,
2013 LY35,distant,False,6.0,42.49,22.28,2015,2013-01-01,2456293.5,22.376,0.35,0.12,1,
2013 LY35,distant,False,6.0,42.49,22.28,2015,2017-07-01,2457935.5,22.256,1.0,0.4,1,
2013 LY35,distant,False,6.0,42.49,22.28,2015,2021-01-01,2459215.5,22.318,3.37,0.66,1,
2002 GD32,distant,False,6.12,44.39,22.59,2015,2005-07-01,2453552.5,23.282,1.93,0.61,1,
2002 GD32,distant,False,6.12,44.39,22.59,2015,2013-01-01,2456293.5,23.325,1.27,0.47,0,
2002 GD32,distant,False,6.12,44.39,22.59,2015,2017-07-01,2457935.5,23.285,1.86,0.72,1,
2002 GD32,distant,False,6.12,44.39,22.59,2015,2021-01-01,2459215.5,23.328,6.9,0.94,0,
2015 KU178,distant,False,6.8,40.13,22.84,2015,2005-07-01,2453552.5,22.926,22.12,4.09,1,
2015 KU178,distant,False,6.8,40.13,22.84,2015,2013-01-01,2456293.5,23.057,149.08,12.77,1,
2015 KU178,distant,False,6.8,40.13,22.84,2015,2017-07-01,2457935.5,23.015,195.64,6.96,1,
2015 KU178,distant,False,6.8,40.13,22.84,2015,2021-01-01,2459215.5,23.124,843.2,11.09,1,
2014 JU80,distant,False,5.7,53.09,22.95,2015,2005-07-01,2453552.5,21.736,2.58,0.61,1,
2014 JU80,distant,False,5.7,53.09,22.95,2015,2013-01-01,2456293.5,21.989,0.16,0.11,1,
2014 JU80,distant,False,5.7,53.09,22.95,2015,2017-07-01,2457935.5,22.007,0.49,0.21,1,
2014 JU80,distant,False,5.7,53.09,22.95,2015,2021-01-01,2459215.5,22.186,1.77,0.4,1,
2014 SV349,distant,False,5.1,61.1,22.96,2015,2005-07-01,2453552.5,23.377,23.43,2.95,0,
2014 SV349,distant,False,5.1,61.1,22.96,2015,2013-01-01,2456293.5,23.265,0.91,0.45,1,
2014 SV349,distant,False,5.1,61.1,22.96,2015,2017-07-01,2457935.5,23.123,7.63,1.59,1,
2014 SV349,distant,False,5.1,61.1,22.96,2015,2021-01-01,2459215.5,23.083,20.93,2.91,1,
2014 YK92,distant,False,7.16,40.01,23.18,2015,2005-07-01,2453552.5,23.1,1174.75,11.43,1,
2014 YK92,distant,False,7.16,40.01,23.18,2015,2013-01-01,2456293.5,23.055,29.97,2.18,1,
2014 YK92,distant,False,7.16,40.01,23.18,2015,2017-07-01,2457935.5,23.145,124.79,4.19,1,
2014 YK92,distant,False,7.16,40.01,23.18,2015,2021-01-01,2459215.5,23.096,608.62,7.91,1,
2006 HW122,distant,False,6.67,45.3,23.23,2015,2005-07-01,2453552.5,23.206,2.21,1.03,1,
2006 HW122,distant,False,6.67,45.3,23.23,2015,2013-01-01,2456293.5,23.293,1.83,0.54,1,
2006 HW122,distant,False,6.67,45.3,23.23,2015,2017-07-01,2457935.5,23.237,2.46,0.9,1,
2006 HW122,distant,False,6.67,45.3,23.23,2015,2021-01-01,2459215.5,23.325,9.49,1.23,0,
2001 KA77,distant,False,5.29,47.21,22.03,2016,2005-07-01,2453552.5,22.223,1.05,0.35,1,
2001 KA77,distant,False,5.29,47.21,22.03,2016,2013-01-01,2456293.5,22.231,0.78,0.65,1,
2001 KA77,distant,False,5.29,47.21,22.03,2016,2017-07-01,2457935.5,22.099,1.55,0.98,1,
2001 KA77,distant,False,5.29,47.21,22.03,2016,2021-01-01,2459215.5,22.152,3.75,1.15,1,
2004 HF79,distant,False,6.44,43.12,22.79,2016,2005-07-01,2453552.5,22.842,0.43,0.34,1,
2004 HF79,distant,False,6.44,43.12,22.79,2016,2013-01-01,2456293.5,22.88,0.35,0.13,1,
2004 HF79,distant,False,6.44,43.12,22.79,2016,2017-07-01,2457935.5,22.786,0.6,0.23,1,
2004 HF79,distant,False,6.44,43.12,22.79,2016,2021-01-01,2459215.5,22.855,1.7,0.35,1,
2015 SW20,distant,False,6.41,43.68,22.81,2016,2005-07-01,2453552.5,22.994,167.23,10.64,1,
2015 SW20,distant,False,6.41,43.68,22.81,2016,2013-01-01,2456293.5,22.988,19.68,3.01,1,
2015 SW20,distant,False,6.41,43.68,22.81,2016,2017-07-01,2457935.5,22.936,6.0,1.83,1,
2015 SW20,distant,False,6.41,43.68,22.81,2016,2021-01-01,2459215.5,22.931,47.03,5.38,1,
2002 GW32,distant,False,7.5,34.9,22.93,2016,2005-07-01,2453552.5,23.387,1.5,0.62,0,
2002 GW32,distant,False,7.5,34.9,22.93,2016,2013-01-01,2456293.5,23.425,1.66,1.43,0,
2002 GW32,distant,False,7.5,34.9,22.93,2016,2017-07-01,2457935.5,23.305,2.48,2.16,0,
2002 GW32,distant,False,7.5,34.9,22.93,2016,2021-01-01,2459215.5,23.373,6.27,2.55,0,
2014 TR115,distant,False,6.58,43.64,22.98,2016,2005-07-01,2453552.5,23.454,104.24,7.96,0,
2014 TR115,distant,False,6.58,43.64,22.98,2016,2013-01-01,2456293.5,23.519,10.52,1.8,0,
2014 TR115,distant,False,6.58,43.64,22.98,2016,2017-07-01,2457935.5,23.57,4.94,1.91,0,
2014 TR115,distant,False,6.58,43.64,22.98,2016,2021-01-01,2459215.5,23.576,25.64,4.69,0,
2005 JZ174,distant,False,6.7,42.49,22.98,2016,2005-07-01,2453552.5,23.145,1.18,0.78,1,
2005 JZ174,distant,False,6.7,42.49,22.98,2016,2013-01-01,2456293.5,23.122,2.31,1.39,1,
2005 JZ174,distant,False,6.7,42.49,22.98,2016,2017-07-01,2457935.5,23.031,4.32,2.32,1,
2005 JZ174,distant,False,6.7,42.49,22.98,2016,2021-01-01,2459215.5,23.06,7.53,2.93,1,
2003 KO20,distant,False,6.6,43.79,23.01,2016,2005-07-01,2453552.5,23.329,3.07,0.97,0,
2003 KO20,distant,False,6.6,43.79,23.01,2016,2013-01-01,2456293.5,23.349,2.94,1.49,0,
2003 KO20,distant,False,6.6,43.79,23.01,2016,2017-07-01,2457935.5,23.277,2.71,2.29,1,
2003 KO20,distant,False,6.6,43.79,23.01,2016,2021-01-01,2459215.5,23.323,17.42,2.83,0,
2007 HV90,distant,False,6.6,43.84,23.02,2016,2005-07-01,2453552.5,22.884,2.74,0.75,1,
2007 HV90,distant,False,6.6,43.84,23.02,2016,2013-01-01,2456293.5,22.953,0.46,0.16,1,
2007 HV90,distant,False,6.6,43.84,23.02,2016,2017-07-01,2457935.5,22.864,0.58,0.3,1,
2007 HV90,distant,False,6.6,43.84,23.02,2016,2021-01-01,2459215.5,22.954,2.1,0.56,1,
2014 KT101,distant,False,6.8,41.88,23.02,2016,2005-07-01,2453552.5,22.2,4.73,0.66,1,
2014 KT101,distant,False,6.8,41.88,23.02,2016,2013-01-01,2456293.5,22.127,0.18,0.14,1,
2014 KT101,distant,False,6.8,41.88,23.02,2016,2017-07-01,2457935.5,21.934,0.47,0.22,1,
2014 KT101,distant,False,6.8,41.88,23.02,2016,2021-01-01,2459215.5,22.008,2.46,0.45,1,
2015 KL419,distant,False,6.97,40.39,23.03,2016,2005-07-01,2453552.5,23.297,2649.52,16.33,1,
2015 KL419,distant,False,6.97,40.39,23.03,2016,2013-01-01,2456293.5,23.292,119.13,4.42,1,
2015 KL419,distant,False,6.97,40.39,23.03,2016,2017-07-01,2457935.5,23.22,22.66,4.46,1,
2015 KL419,distant,False,6.97,40.39,23.03,2016,2021-01-01,2459215.5,23.255,695.85,8.62,1,
2013 JV63,distant,False,6.5,46.29,23.15,2016,2005-07-01,2453552.5,22.928,5.04,0.76,1,
2013 JV63,distant,False,6.5,46.29,23.15,2016,2013-01-01,2456293.5,23.124,0.28,0.15,1,
2013 JV63,distant,False,6.5,46.29,23.15,2016,2017-07-01,2457935.5,23.13,0.76,0.43,1,
2013 JV63,distant,False,6.5,46.29,23.15,2016,2021-01-01,2459215.5,23.264,3.5,0.71,1,
2014 QJ562,distant,False,7.42,37.88,23.2,2016,2005-07-01,2453552.5,23.166,171.92,6.88,1,
2014 QJ562,distant,False,7.42,37.88,23.2,2016,2013-01-01,2456293.5,23.307,10.37,1.61,0,
2014 QJ562,distant,False,7.42,37.88,23.2,2016,2017-07-01,2457935.5,23.266,11.46,1.86,1,
2014 QJ562,distant,False,7.42,37.88,23.2,2016,2021-01-01,2459215.5,23.36,50.66,4.17,0,
2003 QT90,distant,False,6.8,43.96,23.23,2016,2005-07-01,2453552.5,23.583,3.06,1.14,0,
2003 QT90,distant,False,6.8,43.96,23.23,2016,2013-01-01,2456293.5,23.588,2.06,0.54,0,
2003 QT90,distant,False,6.8,43.96,23.23,2016,2017-07-01,2457935.5,23.56,2.17,0.62,0,
2003 QT90,distant,False,6.8,43.96,23.23,2016,2021-01-01,2459215.5,23.554,5.16,0.9,0,
2012 HG84,distant,False,5.54,42.87,21.86,2017,2005-07-01,2453552.5,21.833,1.9,0.44,1,
2012 HG84,distant,False,5.54,42.87,21.86,2017,2013-01-01,2456293.5,21.823,0.14,0.09,1,
2012 HG84,distant,False,5.54,42.87,21.86,2017,2017-07-01,2457935.5,21.703,0.28,0.18,1,
2012 HG84,distant,False,5.54,42.87,21.86,2017,2021-01-01,2459215.5,21.754,1.19,0.34,1,
2014 KS101,distant,False,6.5,38.33,22.34,2017,2005-07-01,2453552.5,22.372,2.4,0.49,1,
2014 KS101,distant,False,6.5,38.33,22.34,2017,2013-01-01,2456293.5,22.427,0.14,0.12,1,
2014 KS101,distant,False,6.5,38.33,22.34,2017,2017-07-01,2457935.5,22.314,0.21,0.15,1,
2014 KS101,distant,False,6.5,38.33,22.34,2017,2021-01-01,2459215.5,22.404,1.03,0.32,1,
2000 KK4,distant,False,6.25,41.11,22.39,2017,2005-07-01,2453552.5,22.816,0.44,0.41,1,
2000 KK4,distant,False,6.25,41.11,22.39,2017,2013-01-01,2456293.5,22.896,0.23,0.16,1,
2000 KK4,distant,False,6.25,41.11,22.39,2017,2017-07-01,2457935.5,22.809,0.23,0.15,1,
2000 KK4,distant,False,6.25,41.11,22.39,2017,2021-01-01,2459215.5,22.891,0.74,0.28,1,
2014 KY101,distant,False,6.49,39.24,22.43,2017,2005-07-01,2453552.5,21.796,1.17,0.35,1,
2014 KY101,distant,False,6.49,39.24,22.43,2017,2013-01-01,2456293.5,21.996,0.16,0.09,1,
2014 KY101,distant,False,6.49,39.24,22.43,2017,2017-07-01,2457935.5,21.97,0.17,0.11,1,
2014 KY101,distant,False,6.49,39.24,22.43,2017,2021-01-01,2459215.5,22.142,0.63,0.21,1,
2010 GF65,distant,False,7.28,33.15,22.48,2017,2005-07-01,2453552.5,21.932,0.84,0.21,1,
2010 GF65,distant,False,7.28,33.15,22.48,2017,2013-01-01,2456293.5,21.537,0.1,0.06,1,
2010 GF65,distant,False,7.28,33.15,22.48,2017,2017-07-01,2457935.5,21.158,0.18,0.12,1,
2010 GF65,distant,False,7.28,33.15,22.48,2017,2021-01-01,2459215.5,21.119,0.81,0.21,1,
2001 RX143,distant,False,6.61,39.42,22.57,2017,2005-07-01,2453552.5,22.994,0.79,0.46,1,
2001 RX143,distant,False,6.61,39.42,22.57,2017,2013-01-01,2456293.5,23.163,0.4,0.22,1,
2001 RX143,distant,False,6.61,39.42,22.57,2017,2017-07-01,2457935.5,23.297,0.64,0.31,1,
2001 RX143,distant,False,6.61,39.42,22.57,2017,2021-01-01,2459215.5,23.331,1.42,0.44,0,
2014 UE225,distant,False,6.42,43.86,22.84,2017,2005-07-01,2453552.5,23.268,4.7,1.85,1,
2014 UE225,distant,False,6.42,43.86,22.84,2017,2013-01-01,2456293.5,23.26,0.56,0.38,1,
2014 UE225,distant,False,6.42,43.86,22.84,2017,2017-07-01,2457935.5,23.288,0.98,0.62,1,
2014 UE225,distant,False,6.42,43.86,22.84,2017,2021-01-01,2459215.5,23.254,2.58,1.33,1,
2017 MP42,distant,False,6.99,39.55,22.96,2017,2005-07-01,2453552.5,23.61,886.06,16.5,0,
2017 MP42,distant,False,6.99,39.55,22.96,2017,2013-01-01,2456293.5,23.752,142.13,5.81,0,
2017 MP42,distant,False,6.99,39.55,22.96,2017,2017-07-01,2457935.5,23.745,1.06,0.73,0,
2017 MP42,distant,False,6.99,39.55,22.96,2017,2021-01-01,2459215.5,23.815,61.99,5.12,0,
2014 TT115,distant,False,6.17,47.79,22.96,2017,2005-07-01,2453552.5,23.594,20.44,3.22,0,
2014 TT115,distant,False,6.17,47.79,22.96,2017,2013-01-01,2456293.5,23.638,2.73,1.04,0,
2014 TT115,distant,False,6.17,47.79,22.96,2017,2017-07-01,2457935.5,23.668,0.86,0.48,0,
2014 TT115,distant,False,6.17,47.79,22.96,2017,2021-01-01,2459215.5,23.671,4.33,1.41,0,
2001 KE76,distant,False,6.68,42.8,22.99,2017,2005-07-01,2453552.5,23.112,1.49,0.58,1,
2001 KE76,distant,False,6.68,42.8,22.99,2017,2013-01-01,2456293.5,23.191,1.96,1.39,1,
2001 KE76,distant,False,6.68,42.8,22.99,2017,2017-07-01,2457935.5,23.097,2.39,2.08,1,
2001 KE76,distant,False,6.68,42.8,22.99,2017,2021-01-01,2459215.5,23.186,3.78,2.45,1,
2002 PP149,distant,False,6.9,40.97,23.02,2017,2005-07-01,2453552.5,22.943,3.47,0.8,1,
2002 PP149,distant,False,6.9,40.97,23.02,2017,2013-01-01,2456293.5,23.052,4.54,1.04,1,
2002 PP149,distant,False,6.9,40.97,23.02,2017,2017-07-01,2457935.5,23.073,4.91,1.54,1,
2002 PP149,distant,False,6.9,40.97,23.02,2017,2021-01-01,2459215.5,23.122,3.21,1.92,1,
2014 KC102,distant,False,7.1,39.13,23.02,2017,2005-07-01,2453552.5,22.453,3.04,0.62,1,
2014 KC102,distant,False,7.1,39.13,23.02,2017,2013-01-01,2456293.5,22.279,0.19,0.14,1,
2014 KC102,distant,False,7.1,39.13,23.02,2017,2017-07-01,2457935.5,22.011,0.62,0.22,1,
2014 KC102,distant,False,7.1,39.13,23.02,2017,2021-01-01,2459215.5,22.033,2.49,0.46,1,
2013 RU157,distant,False,6.66,43.41,23.04,2017,2005-07-01,2453552.5,23.592,16.93,2.39,0,
2013 RU157,distant,False,6.66,43.41,23.04,2017,2013-01-01,2456293.5,23.501,1.82,0.68,0,
2013 RU157,distant,False,6.66,43.41,23.04,2017,2017-07-01,2457935.5,23.442,0.82,0.44,0,
2013 RU157,distant,False,6.66,43.41,23.04,2017,2021-01-01,2459215.5,23.379,4.42,1.35,0,
2026 BS14,distant,True,4.55,44.2,21.0,2026,2005-07-01,2453552.5,21.675,nan,nan,0,
2026 BS14,distant,True,4.55,44.2,21.0,2026,2013-01-01,2456293.5,21.668,nan,nan,0,
2026 BS14,distant,True,4.55,44.2,21.0,2026,2017-07-01,2457935.5,21.729,nan,nan,0,
2026 BS14,distant,True,4.55,44.2,21.0,2026,2021-01-01,2459215.5,21.699,nan,nan,0,
2025 MZ348,distant,True,4.64,47.66,21.42,2025,2005-07-01,2453552.5,22.048,6873.23,464.11,0,
2025 MZ348,distant,True,4.64,47.66,21.42,2025,2013-01-01,2456293.5,22.215,1805.59,415.07,1,
2025 MZ348,distant,True,4.64,47.66,21.42,2025,2017-07-01,2457935.5,22.197,793.0,244.12,1,
2025 MZ348,distant,True,4.64,47.66,21.42,2025,2021-01-01,2459215.5,22.301,627.54,66.77,1,
2003 MM13,distant,True,6.33,36.0,21.89,2003,2005-07-01,2453552.5,23.086,38654.47,99.31,0,
2003 MM13,distant,True,6.33,36.0,21.89,2003,2013-01-01,2456293.5,22.919,78030.46,5662.93,0,
2003 MM13,distant,True,6.33,36.0,21.89,2003,2017-07-01,2457935.5,22.728,643313.23,2742.63,0,
2003 MM13,distant,True,6.33,36.0,21.89,2003,2021-01-01,2459215.5,22.629,966044.5,3558.83,0,
2025 OF345,distant,True,5.61,43.03,21.95,2025,2005-07-01,2453552.5,22.252,2944.51,291.95,1,
2025 OF345,distant,True,5.61,43.03,21.95,2025,2013-01-01,2456293.5,22.22,1008.15,207.57,1,
2025 OF345,distant,True,5.61,43.03,21.95,2025,2017-07-01,2457935.5,22.063,350.54,191.39,1,
2025 OF345,distant,True,5.61,43.03,21.95,2025,2021-01-01,2459215.5,22.094,138.76,82.68,1,
2025 ND497,distant,True,5.93,42.55,22.22,2025,2005-07-01,2453552.5,22.427,nan,nan,0,
2025 ND497,distant,True,5.93,42.55,22.22,2025,2013-01-01,2456293.5,22.519,nan,nan,0,
2025 ND497,distant,True,5.93,42.55,22.22,2025,2017-07-01,2457935.5,22.45,nan,nan,0,
2025 ND497,distant,True,5.93,42.55,22.22,2025,2021-01-01,2459215.5,22.52,nan,nan,0,
2025 NU189,distant,True,6.07,41.29,22.23,2025,2005-07-01,2453552.5,22.775,13811.98,185.74,0,
2025 NU189,distant,True,6.07,41.29,22.23,2025,2013-01-01,2456293.5,22.823,6449.43,95.59,0,
2025 NU189,distant,True,6.07,41.29,22.23,2025,2017-07-01,2457935.5,22.755,2854.75,63.38,1,
2025 NU189,distant,True,6.07,41.29,22.23,2025,2021-01-01,2459215.5,22.791,1394.36,24.54,1,
2002 GN32,distant,True,6.3,39.36,22.25,2002,2005-07-01,2453552.5,21.539,188817.08,598.91,0,
2002 GN32,distant,True,6.3,39.36,22.25,2002,2013-01-01,2456293.5,21.632,940028.9,4133.41,0,
2002 GN32,distant,True,6.3,39.36,22.25,2002,2017-07-01,2457935.5,21.562,1512113.1,7784.76,0,
2002 GN32,distant,True,6.3,39.36,22.25,2002,2021-01-01,2459215.5,21.7,1938996.0,9215.93,0,
2025 LU5,distant,True,5.86,44.86,22.38,2025,2005-07-01,2453552.5,22.678,nan,nan,0,
2025 LU5,distant,True,5.86,44.86,22.38,2025,2013-01-01,2456293.5,22.848,nan,nan,0,
2025 LU5,distant,True,5.86,44.86,22.38,2025,2017-07-01,2457935.5,22.829,nan,nan,0,
