num,name,desc,galex_fuv,synth_fuv,deficit,executed,_q,WDJname,GaiaEDR3,Pwd,TeffH,loggH,MassH,TeffHe,MassHe,Gmag,Plx
208,WDJ213333.32+352925.65,"STAR, DA",15.02,14.73,0.28999999999999915,True,100.0,WDJ213333.32+352925.65,1950617847697475584,0.999197,25728.22,8.668154,1.038981,31138.2,1.100965,16.3505,10.612
144,WDJ042839.41+165812.09,"STAR, DA",12.93,12.64,0.28999999999999915,True,48.0,WDJ042839.41+165812.09,3313714023603261568,0.999436,24171.7,8.121882,0.702964,28828.98,0.756084,14.0544,20.7075
229,WDJ182227.62+532331.99,"STAR, DA",15.1,14.82,0.27999999999999936,True,80.0,WDJ182227.62+532331.99,2148495031195001728,0.998944,26077.84,8.994091,1.20154,31843.57,1.24705,16.4648,13.2804
17,WDJ232337.94+341526.71,"STAR, DA",14.04,13.77,0.2699999999999996,True,52.0,WDJ232337.94+341526.71,1912118310604657408,0.99976,20227.3,7.97006,0.607454,21242.89,0.66715,14.7934,15.6845
149,WDJ002702.78-075111.86,"STAR, DA",13.2,12.93,0.2699999999999996,True,23.0,WDJ002702.78-075111.86,2430332636288329088,0.999639,21905.11,7.913915,0.581159,25297.65,0.637057,14.0973,19.1092
233,WDJ143526.31-055027.99,"STAR, DA",15.1,14.84,0.2599999999999998,True,77.0,WDJ143526.31-055027.99,6331841074973988224,0.999744,17818.32,8.064494,0.656331,17886.79,0.691329,15.5199,13.1799
18,WDJ234805.65+410215.96,"STAR, DA",14.05,13.8,0.25,True,74.0,WDJ234805.65+410215.96,1921293254101835776,0.999779,19057.08,7.967878,0.603529,19752.0,0.662637,14.6621,17.4691
253,WDJ031743.17+090955.15,"STAR, DA",15.17,14.93,0.2400000000000002,True,56.0,WDJ031743.17+090955.15,14141304376849280,0.999788,19302.36,8.001042,0.622704,20166.31,0.686572,15.8405,10.3071
212,WDJ152131.86+381246.36,"STAR, DA",14.98,14.75,0.23000000000000043,True,97.0,WDJ152131.86+381246.36,1387655524762487552,0.999737,20329.2,8.014291,0.632498,21419.84,0.695411,15.7706,10.1893
13,WDJ234331.84-882310.21,"STAR, DA",13.71,13.48,0.23000000000000043,True,53.0,WDJ234331.84-882310.21,6341633291172404480,0.999315,24886.63,8.119576,0.703016,29829.1,0.752132,14.9434,13.3249
238,WDJ062117.23+370023.14,"STAR, DA",15.08,14.86,0.22000000000000064,True,70.0,WDJ062117.23+370023.14,955083529860009344,0.999758,19297.87,7.981676,0.611781,19740.05,0.660259,15.7557,10.5217
236,WDJ100337.51-451553.74,"STAR, DA",15.06,14.86,0.20000000000000107,True,72.0,WDJ100337.51-451553.74,5414761515997077120,0.999804,17924.47,7.89651,0.561958,18394.46,0.611045,15.5191,11.636
226,WDJ092008.26-400400.80,"STAR, DA",15.01,14.81,0.1999999999999993,True,83.0,WDJ092008.26-400400.80,5429478822734493440,0.999293,26722.42,8.841812,1.132483,32680.88,1.175961,16.471,11.0557
235,WDJ082246.16+361412.61,"STAR, DA",15.04,14.85,0.1899999999999995,True,75.0,WDJ082246.16+361412.61,904376149529962880,0.999762,18380.58,8.053927,0.651248,18840.31,0.70598,15.6055,12.2462
218,WDJ123226.19+412919.33,"STAR, DA",14.95,14.77,0.17999999999999972,True,92.0,WDJ123226.19+412919.33,1534778323816310912,0.999747,19934.42,8.037664,0.64503,20822.81,0.707325,15.7407,10.674
145,WDJ213849.48-404127.74,"STAR, DA",12.87,12.69,0.17999999999999972,True,27.0,WDJ213849.48-404127.74,6578616598584224640,0.99976,19011.47,8.049556,0.64999,19684.05,0.712019,13.5187,30.8366
237,WDJ102228.77+124159.40,"STAR, DA",15.04,14.86,0.17999999999999972,True,71.0,WDJ102228.77+124159.40,3883746133280920448,0.999789,18667.14,7.99662,0.61879,19328.41,0.679105,15.6503,11.3628
197,WDJ231459.20-220821.70,"STAR, DA",14.86,14.68,0.17999999999999972,True,2.0,WDJ231459.20-220821.70,2385217170235210496,0.999408,26336.76,8.696417,1.055497,32548.67,1.117554,16.3002,10.6616
26,WDJ053343.43-271350.08,"STAR, DA",14.43,14.26,0.16999999999999993,True,87.0,WDJ053343.43-271350.08,2908425653829891712,0.998768,22766.74,9.046049,1.221218,24078.04,1.251129,15.6145,23.1741
161,WDJ193505.26-173953.55,"STAR, DA",14.65,14.48,0.16999999999999993,True,39.0,WDJ193505.26-173953.55,4179983226127791232,0.999583,21776.66,8.224722,0.760991,24119.17,0.829393,15.6743,11.6292
32,WDJ100551.52-023417.93,"STAR, DA",14.59,14.42,0.16999999999999993,False,,,,,,,,,,,
200,WDJ151103.63+765348.60,"STAR, DA",14.84,14.68,0.16000000000000014,True,107.0,WDJ151103.63+765348.60,1702044691288290304,0.999816,16538.72,7.929742,0.576589,16506.19,0.594087,15.1456,15.2506
181,WDJ122448.14+792042.55,"STAR, DA",14.75,14.59,0.16000000000000014,True,14.0,WDJ122448.14+792042.55,1717665659142919168,0.999749,19767.87,8.01408,0.631142,20638.7,0.693325,15.5381,11.6086
240,WDJ002959.00+364834.86,"STAR, DA",15.02,14.87,0.15000000000000036,True,68.0,WDJ002959.00+364834.86,366784816895496064,0.999229,26147.34,9.225758,1.282864,31982.88,1.372905,16.4274,17.0103
24,WDJ133915.05-370620.16,"STAR, DA",14.29,14.14,0.14999999999999858,False,,,,,,,,,,,
249,WDJ124752.77-412810.27,"STAR, DA",15.06,14.92,0.14000000000000057,False,,,,,,,,,,,
30,WDJ102846.64-214106.70,"STAR, DA",14.5,14.36,0.14000000000000057,False,,,,,,,,,,,
166,WDJ201719.80-074819.01,"STAR, DA",14.66,14.52,0.14000000000000057,True,35.0,WDJ201719.80-074819.01,4215838781344309376,0.999831,17004.67,7.956645,0.592562,17113.36,0.622472,15.0504,15.7342
230,WDJ090515.08-234257.31,"STAR, DA",14.97,14.83,0.14000000000000057,True,79.0,WDJ090515.08-234257.31,5651439193530469248,0.999762,18099.05,7.854441,0.540377,18595.24,0.588155,15.5113,11.2668
178,WDJ085628.48+653946.01,"STAR, DA",14.72,14.58,0.14000000000000057,True,17.0,WDJ085628.48+653946.01,1044784918268692224,0.999702,19049.52,8.135712,0.701434,19647.16,0.762963,15.4306,13.635
175,WDJ205538.86-174004.87,"STAR, DA",14.69,14.56,0.129999999999999,True,20.0,WDJ205538.86-174004.87,6882669221937314944,0.998977,16154.46,8.285791,0.790423,15612.19,0.777981,14.977,21.3939
21,WDJ142234.18-102408.81,"STAR, DA",14.12,13.99,0.129999999999999,False,,,,,,,,,,,
248,WDJ090638.59+070059.81,"STAR, DA",15.04,14.91,0.129999999999999,True,62.0,WDJ090638.59+070059.81,583995091309178624,0.999834,16840.57,7.91049,0.566815,16997.79,0.596257,15.4168,13.05
188,WDJ133110.86+340841.43,"STAR, DA",14.77,14.64,0.129999999999999,False,,,,,,,,,,,
254,WDJ074735.98+210635.83,"STAR, DA",15.05,14.93,0.120000000000001,True,55.0,WDJ074735.98+210635.83,674429853974804352,0.999747,19204.66,7.945651,0.59161,19778.92,0.643478,15.7933,10.0534
170,WDJ145333.03-304023.77,"STAR, DA",14.65,14.54,0.11000000000000121,False,,,,,,,,,,,
196,WDJ223621.10-195224.21,"STAR, DA",14.79,14.68,0.10999999999999943,True,3.0,WDJ223621.10-195224.21,2401659365900957056,0.999746,19377.4,8.004939,0.625081,20244.33,0.68953,15.5524,11.5511
244,WDJ235200.03-033654.01,"STAR, DA",15.0,14.9,0.09999999999999964,True,43.0,WDJ235200.03-033654.01,2447341604429683200,0.999749,18160.26,7.835848,0.531048,18727.54,0.580811,15.5943,10.7238
241,WDJ101420.66-041721.08,"STAR, DA",14.98,14.88,0.09999999999999964,True,67.0,WDJ101420.66-041721.08,3780111080689647488,0.998813,23985.2,8.937798,1.176333,28229.28,1.214609,16.351,14.2029
206,WDJ042842.36-100448.40,"STAR, DA",14.8,14.71,0.08999999999999986,True,102.0,WDJ042842.36-100448.40,3179499250541535744,0.999793,18021.29,7.994991,0.616439,18324.19,0.662161,15.4006,13.0814
190,WDJ120647.61-323433.11,"STAR, DA",14.74,14.65,0.08999999999999986,False,,,,,,,,,,,
176,WDJ080132.70-060735.48,"STAR, DA",14.66,14.57,0.08999999999999986,True,19.0,WDJ080132.70-060735.48,3067262203092220160,0.999789,17581.92,7.89702,0.561383,17342.44,0.574178,15.1938,13.8293
31,WDJ013139.22-201958.63,"STAR, DA",14.49,14.41,0.08000000000000007,True,116.0,WDJ013139.22-201958.63,5043926824108837376,0.999731,19722.72,7.909858,0.573546,20627.48,0.631461,15.3252,11.8532
180,WDJ222734.23-601142.21,"STAR, DA",14.67,14.59,0.08000000000000007,True,15.0,WDJ222734.23-601142.21,6407702841805650688,0.999766,18284.64,8.030901,0.637621,18703.91,0.690082,15.3194,13.7628
251,WDJ211146.39+012054.26,"STAR, DA",15.01,14.93,0.08000000000000007,True,61.0,WDJ211146.39+012054.26,2690763205257368832,0.999793,15730.76,7.944132,0.582666,15519.67,0.58063,15.2368,15.3476
215,WDJ200823.87-660437.71,"STAR, DA",14.83,14.76,0.07000000000000028,True,95.0,WDJ200823.87-660437.71,6427468556182061312,0.999611,21383.74,8.151439,0.715318,23115.74,0.781295,15.8911,10.0831
207,WDJ000538.55-600031.75,"STAR, DA",14.8,14.73,0.07000000000000028,True,101.0,WDJ000538.55-600031.75,4905957459355567232,0.999739,18657.28,8.070397,0.661506,19224.15,0.720925,15.5112,12.7077
242,WDJ235857.81-445713.44,"STAR, DA",14.94,14.88,0.05999999999999872,True,66.0,WDJ235857.81-445713.44,6530974072557448064,0.999835,16927.28,7.966159,0.597709,16980.61,0.62437,15.398,13.5411
221,WDJ205525.69-225720.39,"STAR, DA",14.82,14.78,0.040000000000000924,True,89.0,WDJ205525.69-225720.39,6808329488436621952,0.999019,17080.9,8.318331,0.812707,16662.84,0.819313,15.3536,17.5944
219,WDJ220113.96-220714.92,"STAR, DA",14.81,14.77,0.040000000000000924,True,91.0,WDJ220113.96-220714.92,6819901642159692032,0.999398,20708.49,8.303825,0.808888,21726.9,0.874596,15.842,11.8602
173,WDJ192000.84-224152.97,"STAR, DA",14.58,14.55,0.02999999999999936,True,22.0,WDJ192000.84-224152.97,6771076831905714048,0.999707,20236.41,7.916808,0.578527,19965.06,0.59349,15.551,10.5784
28,WDJ101511.71-010416.24,"STAR, DA",14.34,14.33,0.009999999999999787,False,,,,,,,,,,,
223,WDJ210428.02-031344.84,"STAR, DA",14.81,14.8,0.009999999999999787,True,110.0,WDJ210428.02-031344.84,6915911134936982784,0.999754,19793.48,7.935742,0.587625,20779.55,0.648737,15.7283,10.0127
250,WDJ132230.90-061158.15,"STAR, DA",14.9,14.92,-0.019999999999999574,False,,,,,,,,,,,
211,WDJ123213.30-040925.74,"STAR, DA",14.39,14.75,-0.35999999999999943,True,1.0,WDJ123213.30-040925.74,3681220906102862720,0.998859,19774.48,8.092891,0.677067,16011.48,0.530769,15.6941,11.3481
