sdss_id,gaia,cls,G,bprp,MG,chi_ha,snr_ha,chi_hb,snr_hb
63416304,1794409921493969792,DZ,15.88,0.149,12.54,0.72,63.7,0.6,66.1
80362737,3915335961340525056,DQ:,18.76,0.093,12.67,6.31,81.6,14.73,89.5
71875316,2835032251946333824,DQ,18.12,0.279,12.97,1.36,100.3,1.07,98.0
70039175,2484861712877603968,DZ,18.13,0.541,14.04,1.24,78.6,0.99,72.4
61648680,1496633684172962048,DC,18.25,0.461,12.79,2.85,68.5,2.0,72.4
117497952,418491412783587200,DC,14.0,0.063,12.2,3.03,58.8,0.72,63.3
70148013,2506157672559170944,DQ,18.54,0.372,13.26,1.09,87.1,0.83,87.0
57843668,908957092928687104,DZ,15.53,0.058,12.25,0.43,58.8,0.34,59.6
57335117,845306291781647360,DZ,18.68,0.131,12.52,2.75,66.6,1.3,80.6
56586265,703842232400051328,DC,17.63,0.333,13.06,0.91,71.2,1.08,63.5
69749367,2425347347488993408,DZ,16.97,0.314,13.38,0.84,68.1,0.63,73.3
57456965,866081701427025536,DZ,17.95,0.35,13.28,1.27,68.7,1.0,74.3
92553515,4767443905066482560,DZ,17.0,0.455,13.57,0.56,64.7,0.54,63.6
116729662,320029150076023808,DZ,16.61,0.444,13.67,0.7,61.7,0.7,60.2
70916622,2662208372887759744,hotDQ/DC,17.12,0.01,13.05,9.03,58.9,13.92,68.8
67925950,2153516874460962304,DZ,17.73,0.416,13.52,0.86,62.5,0.59,67.2
76024863,3239578520091272320,DC,16.78,0.135,12.61,0.62,78.2,0.86,81.7
70352006,2545263281069744512,DZ,18.39,0.101,12.4,1.02,66.2,0.73,70.3
55772193,578379365734698752,DC/DQ,18.45,0.314,13.14,1.2,70.7,0.45,74.0
99104617,5549128949371318272,DC,16.91,0.093,12.28,1.82,48.4,0.79,74.6
74317227,3073940117024804736,DZ,18.08,0.202,12.67,0.89,60.6,0.54,66.8
80037026,3850056169293341824,DC,17.75,0.457,13.39,1.67,68.0,1.01,70.1
110051362,6404417771644764160,DZ,14.5,0.106,12.46,0.26,49.7,0.18,49.4
57803078,902371563738394240,DC,17.98,0.21,12.83,1.26,113.7,0.68,130.0
75824122,3214456431743650048,DZ,16.72,0.097,12.45,0.91,57.1,0.7,61.2
70151673,2506764706057099520,DZ,17.6,0.082,12.35,0.83,59.4,1.08,63.4
72202711,2887078360699012864,DZ,17.3,0.199,12.68,0.94,59.8,3.28,59.8
116420217,270485053053115648,DC,16.12,0.096,12.44,0.91,67.8,0.78,71.1
74946891,3123329870108057088,DC,17.66,0.012,12.14,1.76,52.9,0.8,60.1
57982136,931573222477949696,DC,14.94,0.552,13.78,0.23,48.5,0.25,46.7
57731713,893881581625207680,DZ/DZA,17.0,0.024,12.05,2.25,53.9,0.51,61.8
62784569,1706625016212384128,DZ,16.88,0.27,13.13,1.25,58.2,0.84,63.6
70816652,2641006004837594752,DC,18.21,0.178,12.78,0.9,90.5,1.21,92.7
70108090,2498461572200939776,DC,17.88,0.022,12.22,1.33,104.5,0.56,121.2
86412297,4217729529025009024,DZ,16.13,0.133,12.56,0.58,53.5,0.38,54.5
79711344,3788017050329793280,DZ,17.51,0.307,13.23,0.79,58.7,0.85,54.1
74990979,3127156174867632640,DZ,17.81,0.556,13.86,1.75,74.5,0.82,63.6
88492187,4358329681504924800,DC,17.73,0.221,12.95,1.23,95.4,0.93,97.4
76105001,3253038260402114944,DZ,17.77,0.235,12.95,1.12,54.5,0.94,62.8
57461969,866574493091351936,DC/DZ,17.45,0.242,12.88,0.86,54.5,0.61,54.1
94745849,5146271909042420864,DC,16.59,0.132,12.54,0.72,64.8,0.62,68.1
76155028,3264551560189562112,DC:,16.39,0.435,13.64,5.19,58.7,1.47,52.5
56210148,652438247031965056,DC,17.06,0.1,12.57,1.26,71.8,0.72,74.6
78995796,3656469211440196736,DC,17.57,0.438,13.57,7.22,131.5,6.63,127.6
79507280,3744903481417287552,DZ,18.66,0.316,13.26,1.18,53.1,0.72,55.7
60729601,1350517492310907392,DC,15.54,0.223,13.17,4.92,62.3,0.34,62.3
54409849,423974707328909440,DZ,16.48,0.103,12.34,0.76,46.9,0.56,50.3
78869650,3635773447667412992,DQ,17.49,0.476,13.59,1.0,50.2,0.75,50.7
116692766,313521312549882496,DC,17.28,0.125,12.57,0.69,54.2,0.72,61.5
79161619,3684069981248650624,DQ,17.86,0.363,13.21,0.83,45.3,0.91,56.7
80000939,3843152129627559424,DC,17.54,0.112,12.27,1.12,75.8,0.93,84.9
57579088,878953134300432768,DC,18.83,0.375,13.21,3.12,79.0,0.76,83.2
57459362,866313015482420608,DZ,18.18,0.577,13.73,0.8,54.9,0.93,41.2
75659678,3188530845210403840,DZ,17.21,0.237,12.97,0.86,47.0,0.5,52.0
94842199,5167525434447523712,DC,16.82,0.132,12.59,1.06,66.9,0.69,67.7
78723280,3609325691894053376,DC,18.11,0.4,13.5,1.25,79.3,8.01,71.3
57780363,899277915974764032,DZ,19.6,0.06,12.18,1.4,48.7,0.68,60.2
110461449,6449738850666799488,DC,17.65,0.1,12.28,0.79,45.8,0.98,56.0
98265911,5469352538891664512,DC,17.7,0.477,13.85,1.15,45.6,0.61,45.4
75717924,3198881613315343872,DC,16.74,0.512,13.74,1.48,56.2,0.82,55.7
57744337,895359119095120128,DZ,19.4,0.212,12.75,0.98,45.8,1.15,52.3
58642182,1017429511350062464,DZ,19.07,0.337,13.2,0.96,48.7,0.69,56.4
64792790,1932071831012001408,DC,17.43,0.482,13.74,1.92,50.5,0.95,57.0
75222444,3144625662286579968,DZ,18.22,0.26,13.02,0.93,49.5,0.96,52.0
63642669,1815614965310875520,DZ,16.68,0.061,12.1,0.83,42.4,0.37,45.0
70422214,2558321974514561408,DC,16.98,0.032,12.01,1.7,75.0,1.01,80.8
57009136,784290543265061504,DQ,18.93,0.418,13.41,0.84,75.0,0.77,76.1
70146887,2505935468131081472,DBA,19.05,0.053,12.2,6.97,49.5,2.72,67.9
60777675,1356713442194609792,DZ,19.75,0.024,12.5,0.69,45.3,1.16,54.5
70103731,2497581000826499456,DZ,19.08,0.324,13.22,1.15,40.3,0.83,62.2
94834268,5165560568514101376,DZ,17.86,0.162,12.32,0.86,46.3,0.99,50.6
79719219,3789525545923696000,DC,17.77,0.152,12.71,0.9,43.9,0.88,45.5
70155290,2507450045398750720,DQ/DC,18.89,0.504,13.03,2.58,54.6,1.61,53.8
71060578,2686055710647408128,DZ,18.56,0.281,13.11,1.52,44.4,1.09,52.7
55606833,545633955251654016,DC,17.85,0.286,13.12,2.14,60.3,7.97,59.0
88508697,4361290906838002432,DC,17.06,0.534,13.81,0.68,42.3,0.49,40.6
57908859,919872455957849984,DZ,19.55,0.218,12.16,0.9,43.9,0.84,51.1
76649246,3343243985350681728,DC,15.74,0.031,12.01,0.47,57.4,0.45,57.9
55810903,584402318633098624,DQ,17.71,0.381,13.33,1.11,48.2,0.74,47.7
107081335,6051091604138435968,DC,16.75,0.32,12.79,0.75,53.7,0.6,55.8
58710440,1029230844528601472,DZ,18.08,0.276,12.96,0.78,42.1,0.9,45.5
67209316,2084166484213572480,DZ,17.1,0.037,12.23,1.54,38.2,0.96,43.9
99313586,5568526224270980864,DC,17.72,0.166,12.29,0.91,38.7,0.63,42.5
117260638,392899798607793920,DC,17.32,0.58,12.15,2.67,39.9,1.02,39.9
79142222,3681000076065709312,DC,16.6,0.27,13.16,1.0,52.8,0.77,62.7
57409458,858433945220510848,DZ,19.42,0.302,12.93,1.08,43.4,0.81,48.8
57401988,857165662854257792,DZ,18.24,0.381,13.37,0.78,40.6,0.58,42.5
67726735,2131985103893866752,DZ,17.33,0.33,13.16,5.53,39.7,0.62,40.1
58636399,1016560970179771264,DC,18.5,0.482,13.55,0.9,85.6,1.25,88.1
56847311,752010668580510336,DZ,18.17,0.265,13.07,0.67,39.5,0.81,44.4
75726949,3200232157189930880,DQ,17.25,0.312,13.16,0.81,40.3,0.74,39.9
95142766,5216752421155560064,DC,18.0,0.071,12.41,0.81,43.1,0.89,44.4
57929817,923023248261420672,DC,16.14,0.48,14.44,0.45,34.7,0.32,34.4
80730309,3987528623509801984,DZ,17.71,0.204,12.97,2.06,39.4,0.7,40.5
110048260,6403982296321898880,DZ,17.96,0.23,12.98,0.9,37.0,0.46,44.1
75032411,3130054624958706432,DC,17.49,0.307,13.29,33.51,81.1,1.61,77.7
62889403,1727554421909235328,DC,17.35,0.029,12.13,1.57,97.8,0.62,95.0
55762804,577045589410219904,DZ,19.38,0.22,13.16,0.96,40.9,1.09,47.4
80162696,3875789001991057536,DC,16.33,0.334,13.12,0.37,35.9,0.37,37.0
71014078,2678703619989331328,DC,18.18,0.03,12.76,3.32,80.6,1.11,94.3
93111068,4850650100332034176,DZ,17.58,0.571,13.96,0.97,38.4,0.86,38.9
61153553,1414146676886214656,DZ/DC,17.7,0.534,13.93,0.71,39.9,1.07,38.3
57429843,862185002154275968,DC,16.4,0.108,12.39,0.41,36.0,0.39,35.3
57900477,918761227659028736,DZ,19.46,0.234,13.24,1.8,38.5,1.15,46.2
66761279,2058001302926573568,DC:,18.38,0.285,12.42,1.72,32.4,1.56,35.8
79142062,3680973241110267776,DC/DQ,18.23,0.152,12.64,0.99,48.0,0.77,51.4
70582895,2592249329934861952,DC,18.2,0.167,13.0,1.43,37.9,0.61,42.4
106255107,5989991261976860288,DC,17.38,0.095,12.05,0.86,34.0,0.78,40.1
78928562,3645367683052376960,DC,17.64,0.134,12.44,0.84,64.9,0.76,65.4
61975553,1558730836735094528,DC,19.19,0.013,12.88,2.3,45.6,7.97,58.9
63152262,1758536430493058944,DC:,17.75,0.138,13.08,1.42,35.3,3.03,38.0
116274084,252938050063624064,DC,17.82,0.1,12.27,0.84,31.8,0.8,40.4
76102160,3252501909182919424,DZ,18.26,0.312,13.12,1.0,37.0,0.8,43.5
70081430,2493133613730762240,DZ,19.2,0.031,12.28,1.23,39.3,0.87,50.2
70291422,2534630488233088256,DZ,19.29,0.302,12.97,0.82,38.8,0.68,44.8
78656260,3596894652086646144,DZ,18.08,0.145,12.59,0.65,36.9,0.82,37.8
58636381,1016558973019185664,DZ,19.27,0.532,13.84,1.01,37.9,1.01,45.3
70167757,2509910992940012416,DZ,19.33,0.277,12.53,1.04,37.6,0.76,44.3
93471407,4909119551717563520,DC/DA,16.37,0.245,13.08,2.95,44.4,1.69,46.9
70817764,2641232057556370048,DZ,19.55,0.057,12.48,1.25,44.4,1.0,55.5
64431791,1877164080043186048,DZ,18.53,0.291,13.28,0.94,36.2,0.9,40.1
61248548,1428562506980546688,DC,18.24,0.385,13.38,1.96,61.5,1.73,63.5
80197392,3883044266905679488,DZ,17.88,0.195,12.88,0.6,36.6,0.62,38.7
57840309,908448976822869888,DC,19.65,0.315,12.06,1.77,35.7,0.95,40.5
67574200,2117116481169240064,DZ/DZA,17.45,0.177,12.64,1.53,34.6,0.78,36.2
57768859,898002379406954752,DZ,18.42,0.366,13.35,0.98,37.0,0.83,42.2
110908341,6504485974155328640,DZ,18.73,0.106,12.45,1.06,34.0,0.84,40.8
54853170,463731845197037952,DZ,17.68,0.26,12.87,0.79,37.0,0.59,37.6
71433608,2751245651978394240,DC,16.57,0.056,12.05,0.79,53.9,0.6,53.2
80849747,4011141872667809792,DC:,18.94,0.057,12.01,2.33,35.6,0.94,32.9
57302453,839750257663742464,DZ:,16.75,0.03,12.21,1.11,31.9,0.69,37.3
76068287,3246177587019563008,DC,17.35,0.192,12.71,2.22,48.4,1.17,49.6
71655583,2796170838095833856,DZ,18.48,0.17,13.01,0.65,35.3,0.66,40.6
57902424,919059474484211968,DQ,19.39,0.355,12.85,0.95,36.7,0.94,40.3
70146930,2505945535535013376,DC,18.56,0.483,13.75,1.43,64.4,1.02,71.2
57391448,855387061061127168,DC,17.76,0.191,12.77,1.58,42.7,1.17,47.0
109609752,6334997699842603264,DC,17.92,0.497,13.79,0.74,41.2,0.7,36.4
61544000,1478072965823485952,DC,18.81,0.242,12.81,0.95,37.3,0.85,39.8
109962697,6392790951575938304,DC,18.11,0.108,12.41,0.7,41.7,0.75,57.6
55762734,577035178410047616,DC,18.84,0.514,13.98,2.33,53.8,0.89,55.8
78631422,3592659676892033152,DZ,18.55,0.128,12.4,0.6,31.9,0.92,39.2
61898988,1544707665434144640,DC,18.62,0.428,13.64,1.04,82.1,0.73,79.6
98516334,5498397581649108608,DQ,17.62,0.504,13.62,0.73,33.3,0.42,31.5
55847889,591207406550605312,DC,16.67,0.207,12.79,8.67,45.5,0.53,48.1
71981995,2853830018130309120,DC,19.17,0.191,12.92,1.13,52.6,0.82,58.5
80903814,4022064867854157696,DZ,19.26,0.057,12.26,0.86,31.9,0.5,39.8
60453575,1316472764024228736,DC:,19.04,0.308,12.83,1.85,56.6,1.07,44.3
61941464,1552506849303732096,DZ:,19.43,0.536,13.56,1.7,34.6,0.69,34.6
57850491,910101714596889856,DC,18.83,0.44,13.45,0.74,33.2,0.69,34.4
58668732,1022128244227188224,DZ:,16.74,0.125,12.56,0.83,31.4,0.73,32.7
71373809,2739231150982741760,DB/DC,18.29,0.533,13.71,1.26,37.7,0.87,41.4
79745562,3794415245931016320,DQ:,17.37,0.077,13.2,1.42,32.9,1.93,34.7
87729398,4298401105174809984,DZ/DC,16.87,0.041,12.01,0.57,29.3,0.5,32.7
69076788,2267640688162618624,DC,16.44,0.3,13.12,6.55,32.4,1.64,34.2
70693392,2615968858057952640,DC,16.56,0.036,12.44,0.61,32.3,0.44,31.0
70293465,2534988314843345536,DZ,19.12,0.39,13.37,1.13,36.8,0.9,39.9
59563478,1175667891925250944,DC,18.88,0.234,12.35,0.79,58.8,0.61,62.6
70294746,2535269510647152256,DC,18.27,0.243,13.22,0.84,38.1,0.86,37.7
75908639,3225569371860436096,DC,17.79,0.272,13.02,0.86,39.0,0.65,42.4
71707563,2805396878819745536,DZ,18.54,0.224,13.25,0.88,38.7,0.69,41.0
57010302,784489932827435264,DZ/DA,19.59,0.272,12.17,1.63,34.9,1.12,44.7
78941484,3647680024725171968,DZ:,17.83,0.189,12.65,0.89,30.3,0.68,35.1
71851582,2830734604590471424,DC,17.62,0.549,14.13,0.65,33.0,0.59,30.7
75730136,3200687419427134848,DZ,18.05,0.081,12.35,1.23,29.9,0.95,37.0
93579598,4927880583046712192,DC,17.74,0.239,12.91,0.7,40.1,0.61,44.4
57800603,901947633285750272,DZ,19.85,0.316,13.04,0.92,33.0,0.98,40.0
93241717,4872879506731875072,DZ,17.79,0.275,13.04,0.82,30.7,0.87,32.1
70096553,2496101023815713536,DC,19.42,0.208,12.7,1.17,57.7,0.92,64.1
99367497,5574700703614463232,DZ,17.54,0.482,13.8,0.71,32.0,0.6,28.9
61356341,1445628026955513984,DC,18.26,0.078,12.03,0.9,51.2,0.7,55.7
94864765,5172537588267192576,DC,18.16,0.219,12.99,0.78,33.2,0.87,36.3
61259000,1430007784951049216,DZ,17.88,0.334,13.29,0.62,31.5,0.81,30.7
59458229,1158766577140118144,DQ/hotDQ,19.61,0.061,13.33,3.52,32.1,5.18,41.9
92419995,4753383625248745216,DC,17.78,0.513,13.89,0.76,33.2,1.0,26.6
93795214,4966155549178893056,DC,18.22,0.128,12.41,0.74,27.5,0.65,33.2
58532363,1000142959474643584,DC,16.86,0.128,12.42,0.63,31.9,0.59,29.0
109589518,6331687998044199168,DC:,17.51,0.065,12.13,0.96,47.3,0.48,57.0
93786754,4964706491635777536,DC,18.25,0.443,13.38,1.15,30.6,1.02,31.5
98218366,5462605321365453312,DC,17.9,0.398,13.38,0.8,34.8,0.88,33.9
75739610,3202031778550646400,DZ,18.19,0.068,12.18,1.42,30.4,0.65,36.2
80360315,3914773870380393088,DC,18.98,0.181,12.62,1.18,69.0,1.03,75.6
78937310,3646912496889350784,DZ:,18.69,0.26,13.06,2.3,34.9,1.37,51.9
79211611,3692475438406081536,DC,17.39,0.463,12.18,0.75,28.6,0.52,30.2
57599893,881567910387854592,DZ,19.87,0.464,12.78,1.34,32.0,0.85,35.7
92106002,4700949839864716288,DZ,17.49,0.2,12.78,1.58,27.5,0.89,33.4
57589883,880213483861142144,DC,18.91,0.233,12.99,0.84,87.1,1.09,99.8
60999980,1388883778034206080,DC/DB,18.52,0.259,12.7,2.69,39.3,0.66,30.3
115440482,154198607352612480,DC,17.06,0.09,12.33,1.18,28.9,0.66,32.5
75967394,3233012309665840384,DZ,17.88,0.209,12.8,0.66,32.3,1.21,29.3
95917928,5275092787299822080,DC,16.33,0.103,12.26,0.63,39.4,0.61,43.2
93060105,4842077891070021504,DQ,18.32,0.221,12.99,0.84,38.9,0.64,42.8
70302192,2536491205505048960,DZ,19.18,0.21,12.25,1.11,34.2,0.87,40.3
62506053,1654560662439820416,DQ/DC,16.49,0.222,12.84,0.41,29.1,0.67,32.8
117142791,377196947196848128,DC,17.5,0.495,13.98,0.73,41.4,0.59,38.3
55898616,599123782896409984,DZ,18.6,0.063,12.42,1.0,27.7,0.84,36.7
98521454,5498982938447885824,DC,17.75,0.579,13.77,3.44,29.9,2.13,25.0
68397775,2183635178007956736,DC,17.0,0.236,12.91,0.52,41.3,0.51,41.2
57111214,803490735004698496,DZ,18.31,0.204,12.86,1.18,28.4,0.7,31.4
57449490,865376089840826624,DC,18.36,0.213,13.2,1.22,67.7,0.55,69.8
70340876,2543379199176576640,DC,18.85,0.059,12.06,0.9,68.0,0.9,84.3
110610739,6467932297772819712,DC,18.51,0.088,12.59,2.79,25.3,3.66,33.2
79815331,3808050667584060672,DZ,17.66,0.046,12.27,1.72,26.0,1.24,32.6
92782982,4800380218257303296,DC,18.49,0.405,13.56,1.2,26.8,0.95,36.7
54800709,458875306644097408,DC,17.94,0.5,14.29,2.59,55.2,0.77,57.5
109587896,6331384601554022144,DZ,18.68,0.426,13.59,0.88,27.6,0.83,32.7
55305048,513788387664651392,DC,16.9,0.113,12.47,0.73,27.7,0.69,30.1
92991847,4830262195521668736,DZ,18.12,0.12,12.26,0.85,26.3,0.73,31.8
79874538,3820326921066038144,DQ,18.57,0.534,13.76,0.95,28.7,0.84,30.8
57540103,874305258129526400,DC,19.57,0.018,12.19,1.14,47.3,1.18,59.6
102914679,5854619768310354176,DC,17.04,0.049,12.16,11.2,31.5,1.03,41.2
79757578,3796601418644353536,DZ,18.07,0.345,13.12,0.92,30.8,0.83,29.6
75914358,3226269756470965120,DBAZ/DZA,17.81,0.024,12.07,3.56,27.5,3.57,33.4
112017914,6662290464252922112,DZ,17.37,0.422,13.62,0.72,26.9,0.77,36.2
101621388,5764602334714811904,DC,19.04,0.594,14.12,1.13,39.5,1.02,36.2
110009790,6399438530158514048,DZ/DA,18.59,0.117,12.29,0.62,25.5,1.21,35.9
70035335,2484109681283815168,DZ,19.1,0.307,12.95,0.85,31.1,0.9,32.3
87504241,4284105534185196032,DC:,17.43,0.042,12.17,1.11,25.6,0.56,29.9
61982341,1559979229108641280,DC,18.99,0.274,13.35,0.82,48.9,1.03,49.1
74630513,3101141450583245184,DZ,18.42,0.099,12.21,2.18,29.8,0.79,30.6
98040853,5439706441233034752,DZ:,17.34,0.146,12.67,0.76,25.2,0.64,26.6
110747744,6482745708696336640,DC,18.53,0.283,13.09,0.76,32.3,0.83,37.3
61679351,1502063317405058304,DC,16.84,0.512,13.87,0.65,26.6,0.54,25.4
79739069,3793121807939483776,DZ/DA,18.98,0.238,12.63,1.19,25.8,1.08,33.0
62238739,1608048159488726272,DC,19.29,0.458,13.29,0.99,37.4,0.98,39.6
75813889,3213037958664760320,DC,18.47,0.275,13.11,1.95,34.3,1.51,38.4
61101729,1406639104117027968,DZ,19.92,0.282,12.63,0.59,28.6,0.81,33.5
70363653,2547273738081187712,DC:,18.42,0.002,12.39,1.01,33.0,0.6,45.2
116364292,261685038723388800,DC,18.08,0.114,12.27,0.89,41.9,1.13,47.4
79786671,3802190098808972800,DZA/DZ,18.61,0.516,13.6,1.94,26.0,0.75,26.5
72381255,2904966895188855424,DC,18.1,0.393,13.31,0.93,26.3,0.86,25.3
57493456,869740193224329088,DZ,18.43,0.272,13.15,0.86,26.8,1.06,29.6
102151483,5811755170054188288,DC,17.96,0.08,12.27,0.98,22.6,0.79,33.0
73564200,3026892465446255872,DC:,18.65,0.213,13.05,0.99,26.5,0.88,23.1
57915657,920780618202557312,DZ,18.83,0.288,12.98,0.88,27.2,0.57,30.5
55779520,579505987195536000,DZ,19.79,0.291,12.58,1.05,25.6,0.77,32.6
94692034,5135564379479141760,DC,17.19,0.067,12.96,0.66,24.2,0.46,24.1
68642169,2206897515454733312,DC,17.71,0.104,12.48,1.47,30.2,0.76,36.7
73697184,3033932049986463360,DC/DA,18.69,0.089,12.16,1.25,27.6,0.69,30.3
59459819,1159062002170711040,DC,18.1,0.111,12.48,1.34,74.6,0.65,87.1
93328340,4886627426464690432,DZ,18.4,0.245,13.04,0.68,24.7,0.77,27.3
55796466,582114063136532224,DC,18.98,0.034,12.17,1.65,40.2,0.88,52.7
76115220,3254930932230273664,DZ,18.35,0.487,13.85,0.76,27.6,0.82,27.0
74629912,3101096508041289216,DC,17.4,0.331,13.36,1.1,56.2,0.66,61.6
92230997,4721390890600989056,DZ,18.97,0.237,12.93,1.29,23.1,1.06,29.8
57837317,907988418888257280,DC,19.53,0.201,12.49,1.38,31.4,0.99,40.1
93192104,4864552767735594240,DQ,18.42,0.001,12.96,1.06,23.0,1.14,28.5
57746701,895605718936225664,DC,19.08,0.103,12.69,0.86,56.7,0.9,58.5
79908651,3826413031458964864,DZ,18.51,0.474,13.36,0.78,23.5,0.89,28.1
64036350,1839493604790492032,DZ,18.34,0.447,13.85,0.62,27.4,0.77,25.9
99960695,5613565484729858432,DZ:,17.0,0.014,12.11,1.19,22.6,0.72,27.2
110587268,6465117513646252544,DZ/DZA,18.87,0.222,12.7,1.67,21.0,1.07,28.5
63774049,1823372947580601984,DZ,18.75,0.276,13.12,1.09,25.8,0.9,26.4
56611401,707714849790402176,DZ,19.13,0.189,12.55,1.49,21.8,0.96,29.3
75684231,3192863157244877056,DC,18.34,0.084,12.15,0.86,33.2,0.88,36.3
92722104,4792339077406050688,DC/DZ,18.21,0.505,13.75,0.84,32.0,0.93,36.5
61247086,1428369955006868352,DZ,17.91,0.023,12.51,0.82,25.2,0.98,25.4
109624511,6337560970684530816,DZ,19.29,0.182,12.69,0.84,21.4,0.74,31.1
96885863,5339533445838716928,DC:,18.32,0.144,12.39,3.45,21.7,0.65,29.8
103100800,5862773914031649408,DC,17.68,0.561,13.85,2.6,36.7,1.09,30.8
61747802,1515693894335906688,DC/DA,16.74,0.178,13.02,1.89,21.4,3.29,22.4
93216893,4868676245577029504,DC:,18.53,0.231,13.28,0.72,22.5,0.73,26.5
75946479,3230171064244273024,DZ,18.48,0.54,13.96,0.71,27.3,0.66,22.3
109946082,6390348386495501952,DC,18.82,0.182,12.21,1.2,21.7,0.9,28.9
64755113,1926515659458522112,DC,17.23,0.053,12.2,0.64,34.1,0.57,38.4
60235467,1285676091868623488,DC:,19.2,0.283,12.57,1.35,26.4,0.98,31.0
59564127,1175788425887673728,DC,17.71,0.113,12.47,0.73,39.0,0.43,40.1
61250495,1428807010879180672,DZ,19.84,0.208,12.62,0.67,24.1,1.13,29.2
94895837,5179219492227904640,DC,17.15,0.061,12.21,0.68,23.4,0.66,23.6
109643126,6340872287390064768,DC,18.51,0.414,13.4,0.93,24.9,0.75,24.4
75825317,3214603044747246208,DZ,18.24,0.258,12.99,1.36,23.4,0.81,27.7
110590717,6465542891501713408,DC:,18.64,0.103,13.17,1.19,25.7,3.43,33.0
102088463,5807210403157549440,DZ,17.79,0.166,12.7,0.9,18.5,0.68,28.5
108537579,6184353233764164864,DZ/DC,17.06,0.045,12.08,0.78,17.3,0.85,27.4
110782626,6486884545340948992,DC/DQ,18.24,0.186,12.9,1.02,32.5,1.17,39.3
70805031,2638553754605793408,DZ,16.23,0.572,13.86,0.32,18.4,0.51,26.0
93786782,4964710958401593728,DZ/DC,18.71,0.536,13.67,0.88,21.6,0.72,25.2
76015489,3238464749172520448,DZ,19.15,0.353,13.21,1.07,22.2,1.01,27.5
78865642,3635125977052492288,DC:,19.03,0.539,12.95,1.04,18.3,1.15,25.2
54762473,456702358125708544,DZ,18.22,0.336,13.12,0.73,22.7,0.87,24.5
98264702,5469146792778406784,DZ/DZA,19.35,0.397,12.98,1.0,21.1,0.93,23.6
74028734,3053693022717775616,DC:,18.18,0.509,13.69,1.61,20.9,0.83,19.7
79895197,3824078042423837696,DQ/DC,18.63,0.255,13.01,0.93,21.8,0.78,25.0
93578591,4927705485819946368,DC,18.27,0.177,12.9,1.17,28.3,1.01,33.3
55864584,594116366425186944,DC,18.29,0.212,12.99,1.21,26.7,0.75,29.6
56302237,664002940394103808,DZ:,18.85,0.099,12.16,1.05,20.3,1.01,28.0
60233567,1285333800156336384,DQ,19.22,0.489,13.52,0.98,24.8,0.7,26.1
71088298,2688921828223018496,DZ,19.49,0.304,12.16,1.69,20.2,0.86,28.4
79129596,3678910621719649920,DC/DQ,19.45,0.554,13.36,0.61,20.8,0.74,26.0
110463788,6449968133201220736,DZ,18.85,0.049,12.13,0.67,19.2,0.75,28.9
76302616,3298587423664896640,DZ/DA,18.54,0.521,13.35,3.69,22.7,1.09,25.1
114512397,6879784584465884544,DC,17.2,0.129,12.45,0.76,38.2,0.54,38.2
57816320,904625459495846912,DZ,19.55,0.201,12.66,1.06,21.1,1.02,25.8
