name,hip,gaia_dr3_source_id,vmag,spectral_type,distance_pc,category,nss_pool,p_orb_d,m2_mj_marginalized_median,m2_marginalized_1sigma_lo,m2_marginalized_1sigma_hi,hgca_snrpma,kervella_m2_5au_mj,kervella_snrpma,penoyre_ruwe_value,gaia_rv_amplitude_robust_kms,archival_rv_summary,p_substellar_marginalized,filters_passed,status_tentative_only,notes,fp_risk_tier,P_real_companion,P_substellar_given_real,P_real_substellar,companion_class
HD 156239,84737,5923327700182691840,8.1,,75,filter_survivor_sb1_substellar_candidate_hgca_corroborated,nss_sb1,109.56,13,12,21,8.7,,,0.91,,"No archival orbital solution in SB9 (within 5\). NOT in Sahlmann 2025 verdict table. NOT in exoplanet.eu (30\). NOT seen by v9b cascade (Orbital/Acceleration only). SIMBAD obj_type=SB* (NSS-SB1 propagated). HGCA Brandt 2021 chi^2=8.69 -> independent 25-yr PMa corroboration. Pourbaix SB1 mass function: K_1=0.544 km/s, e=0.471, M_2_face=11.5 MJ, M_2_marg=13.2 MJ.",0.9,SB1 cascade + HGCA-corroborated (chi^2=8.69),TENTATIVE_SB1_HGCA_CORROBORATED_BD,"NEW from v1.16.0 NSS SB1 pool push (2026-05-17). Pure-spectroscopic detection: Gaia found host RV reflex but did NOT fit an Orbital solution (astrometric wobble below NSS Orbital threshold). RUWE=0.91 = ASTROMETRICALLY QUIET host -> the substellar interpretation rests almost entirely on the SB1 + HGCA chi^2 channels. Best of the SB1 push: smallest M_2_marg, lowest RUWE, cleanest profile. Confirmation needs ground-based RV time-series (HARPS / FEROS / CHIRON; southern target Dec=-53.4).",low,0.93,0.9,0.837,substellar_BD
HD 156342,84506,4543391129276882176,8.15,,86,filter_survivor_sb1_substellar_candidate_hgca_corroborated,nss_sb1,370.31,20,17,32,9.6,,,1.88,,"No archival orbital solution in SB9. NOT in Sahlmann 2025. NOT in exoplanet.eu. NOT seen by v9b cascade. SIMBAD obj_type=SB* (NSS-SB1 propagated). HGCA Brandt 2021 chi^2=9.58. Pourbaix SB1 mass function: K_1=0.454 km/s, e=0.214, P=370 d, M_2_face=17.0 MJ, M_2_marg=19.6 MJ.",0.85,SB1 cascade + HGCA-corroborated (chi^2=9.58),TENTATIVE_SB1_HGCA_CORROBORATED_BD,"NEW from v1.16.0 NSS SB1 pool push. Year-long period -> matches the Gaia DR3 baseline of ~~5 yr almost exactly -> orbital reflex spans one full cycle -> SB1 fit is well-constrained. RUWE=1.88 = mild astrometric residual consistent with orbital reflex. Northern target (Dec=+14.7) -> reachable from HARPS-N, TRES, NEID.",low,0.93,0.85,0.791,substellar_BD
HD 11042,8278,4712905547052004096,7.59,,108,filter_survivor_sb1_substellar_candidate_hgca_corroborated,nss_sb1,190.95,59,52,80,9.3,,,1.67,,"No archival orbital solution in SB9. NOT in Sahlmann 2025. NOT in exoplanet.eu. NOT seen by v9b cascade. SIMBAD obj_type=SB*. HGCA Brandt 2021 chi^2=9.32. Pourbaix SB1 mass function: K_1=1.303 km/s, e=0.071, P=191 d, M_2_face=51 MJ, M_2_marg=58.6 MJ.",0.6,SB1 cascade + HGCA-corroborated (chi^2=9.32),TENTATIVE_SB1_HGCA_CORROBORATED_BD,"NEW from v1.16.0 NSS SB1 pool push. Bright (V=7.6) southern target (Dec=-61.4 -> CHIRON, FEROS easy). Mass at solid BD core (40-60 MJ); RUWE=1.67 = mild orbital-reflex residual. Period 191 d well within the Gaia 5-yr baseline; SB1 fit covers ~~10 cycles. Lower P_substellar_marginalized (0.6) reflects higher M_2_marg flirting with the BD/star boundary at the upper 1-sigma (M_2_marg_1sig_hi = 80 MJ).",low,0.93,0.6,0.558,substellar_BD
HD 343905,,4521257204320883712,9.99,,77,filter_survivor_sb1_substellar_candidate_tycho_gaia_pma_corroborated,nss_sb1,41.92,24,21,40,,,,6.95,,"NOT in HIP (V=9.99 just below HIP completeness). NOT in SB9. NOT in exoplanet.eu. NOT in NASA Exo. NOT in Sahlmann 2025. NOT seen by v9b cascade (SB1 pool not previously scanned). SIMBAD main_id = HD 343905, obj_type=SB*. Tycho-2 cross-match TYC ? (anonymous in Tycho-2 but matched via tycho2tdsc_merge_best_neighbour). Pourbaix SB1 mass function: K_1=1.415 km/s, e=0.514, P=41.9 d, M_2_face=21.0 MJ, M_2_marg=24.5 MJ (1sig 21-40 MJ).",0.95,SB1 cascade + Tycho-Gaia 25-yr PMa chi^2=75 (8.57sigma RA),TENTATIVE_SB1_TYCHO_GAIA_PMA_CORROBORATED,"NEW in v1.16.0 (2026-05-17) Tycho-Gaia PMa channel. HD-named (HD 343905) — initially anonymous in the SB1 pool because no HIP cross-id, but SIMBAD resolution against gaia_source ra/dec returned HD 343905. The killer corroboration: **Tycho-2 (1991) vs Gaia DR3 (2016) proper-motion anomaly chi^2 = 75.1**, with 8.57sigma disagreement in RA alone (pm_RA_TYC = -8.0 mas/yr vs pm_RA_DR3 = -17.58 mas/yr; sigma_total ~ 1.12 mas/yr -> 8.57sigma offset). This is an independent astrometric channel ESCAPING the HGCA system (HD 343905 is not in HGCA because it's not in Hipparcos), and the chi^2 = 75 puts it well into the 'definite companion' tier of the Brandt 2024 system (>30 = FLAG; >100 = REJECT-stellar). M_2_marg = 24.5 MJ -> strongly substellar. P = 41.92 d is short — orbital reflex is easily ground-detectable from a single quadrature epoch at K~1.4 km/s. RUWE=6.95 is high but consistent with orbital reflex for close-in massive companion (just below v9 lax limit 7.0). High Gaia astrometric_excess_noise (>1.0 mas) further supports the orbital-reflex interpretation. Northern target (Dec=+23.5) — easily reachable from any major northern facility (HARPS-N, TRES, NEID, KOA/HIRES).",low,0.95,0.95,0.903,substellar_BD
HD 199695,103488,1846430531030410496,7.94,,108,filter_survivor_sb1_substellar_candidate_tycho_gaia_pma_corroborated,nss_sb1,62.00,22,19,36,,,,4.6,,"NOT in SB9. NOT in exoplanet.eu. NOT in Sahlmann 2025. NOT seen by v9b cascade. SIMBAD obj_type=SB*. HIP 103488 with HIP Sn=5 (single-star in vL07; HIP did not detect the companion). Tycho-2 PM via Vizier I/259/tyc2 coord query gave chi^2=7.16 (CORROBORATED tier). Pourbaix SB1 mass function: K_1=0.784 km/s, e=0.224, P=62.00 d, M_2_face=19.0 MJ, M_2_marg=22.1 MJ (1sig 19-36 MJ). Significance=10.84.",0.9,SB1 cascade + Tycho-Gaia 25-yr PMa chi^2=7.16 (CORROBORATED),TENTATIVE_SB1_TYCHO_GAIA_PMA_CORROBORATED,"NEW in v1.16.0 (2026-05-17) Tycho-Gaia PMa channel. HIP-named (HIP 103488) but Gaia DR3 hipparcos2_best_neighbour table missed the cross-match — initially classified as 'anonymous' but recovered via direct SIMBAD coord resolution + Vizier I/311/hip2 query (Sn=5 single-star in van Leeuwen 2007). Tycho-Gaia 25-yr PMa chi^2 = 7.16 in CORROBORATED tier (5 <= chi^2 < 30), max_sigma = 2.66 — cleaner than HD 343905 (chi^2=75 FLAG tier) because chi^2 lies safely below the 30-100 FLAG range. Mass posterior cleanly substellar: 1-sigma upper bound is 36 MJ, well below deuterium-burning. P=62 d is short. RUWE=4.60 is moderately high (orbital reflex from close-in massive companion). M_1=1.43 Msun from mass_flame. V=7.94 northern target (Dec=+29.4), easily reachable from any northern facility.",low,0.93,0.9,0.837,substellar_BD
CD-70 5,,4702272586713535872,9.7,,137,filter_survivor_sb1_substellar_candidate_tycho_gaia_pma_corroborated,nss_sb1,75.60,59,51,96,,,,6.38,,"NOT in HIP at 10 arcsec radius (genuinely too southern or just missed). NOT in SB9. NOT in exoplanet.eu. NOT in Sahlmann 2025. NOT seen by v9b cascade. SIMBAD main_id = CD-70 5 (Cordoba Durchmusterung). obj_type=SB*. Tycho-2 PM via Vizier I/259/tyc2 coord query gave chi^2=9.6 (CORROBORATED tier). Pourbaix SB1 mass function: K_1=2.222 km/s, e=0.250, P=75.6 d, M_2_face=50.4 MJ, M_2_marg=58.8 MJ (1sig 51-96 MJ). Significance=7.60.",0.6,SB1 cascade + Tycho-Gaia 25-yr PMa chi^2=9.6 (CORROBORATED),TENTATIVE_SB1_TYCHO_GAIA_PMA_CORROBORATED,"NEW in v1.16.0 (2026-05-17) Tycho-Gaia PMa channel. Genuinely not in HIP (V=9.7 fainter than HIP completeness AND highly southern). CD-70 5 = Cordoba Durchmusterung name, retrieved via SIMBAD coord lookup. Tycho-Gaia 25-yr PMa chi^2 = 9.6 in CORROBORATED tier. Mass posterior: M_2_marg = 58.8 MJ — solid BD core but 1-sigma upper bound (96 MJ) crosses the deuterium-burning boundary, so it's a borderline-substellar candidate. P=75.6 d is short. RUWE=6.38 is high (consistent with orbital reflex). M_1=1.15 Msun from mass_flame. Very southern target (Dec=-71.4) — only reachable from southern facilities (CHIRON, FEROS at ESO; CORALIE at Geneva; ESPRESSO at VLT). P_substellar_marginalized = 0.6 reflects the M_2 borderline status.",low,0.93,0.6,0.558,substellar_BD
HD 83408,,3847285507365485312,7.63,,58,filter_survivor_sb1_substellar_candidate_tycho_gaia_pma_flag,nss_sb1,72.78,20,17,32,,,,2.23,,"NOT in HIP (Gaia DR3 hipparcos2_best_neighbour table miss; SIMBAD coord query resolved to HD 83408 = TYC 234-something). NOT in SB9. NOT in exoplanet.eu. NOT in Sahlmann 2025. NOT seen by v9b cascade. SIMBAD obj_type=SB*. Tycho-2 PM via Vizier I/259/tyc2 coord query gave chi^2=96.4 (FLAG tier 30 <= chi^2 < 100). Pourbaix SB1 mass function: K_1=? km/s, e=?, P=72.8 d, M_2_marg=19.8 MJ (1sig 17-32 MJ).",0.85,SB1 cascade + Tycho-Gaia 25-yr PMa chi^2=96.4 (FLAG-tier),TENTATIVE_SB1_TYCHO_GAIA_PMA_FLAG_STRONG_BD,"NEW in v1.16.0 (2026-05-17) Tycho-Gaia PMa expansion. HD-named bright (V=7.63) nearby (d=58 pc) target. RUWE=2.23 = low orbital-reflex residual. Tycho-Gaia PMa chi^2 = 96.4 is at the upper end of FLAG tier (30-100); mass-ambiguous interpretation: the high chi^2 could indicate a near-face-on stellar companion projected onto a small-M_2 sin(i), OR a substellar companion with extreme PMa. The clean SB1 fit + low RUWE + 1-sigma upper bound 32 MJ (well below D-burning) lean toward the substellar interpretation. Confirmation requires orvara joint HGCA+Thiele-Innes posterior, or single-quadrature RV at predicted K. Equatorial target (Dec=+1.8) — reachable from any major facility.",low_to_moderate,0.95,0.85,0.808,substellar_BD
HD 153386,,5917074949359384320,7.34,,75,filter_survivor_sb1_substellar_candidate_tycho_gaia_pma_flag,nss_sb1,358.74,25,22,41,,,,2.4,,"NOT in HIP (Gaia xmatch miss). NOT in SB9. NOT in exoplanet.eu. NOT in Sahlmann 2025. NOT seen by v9b cascade. SIMBAD obj_type=SB*. Tycho-2 PM via Vizier I/259/tyc2 coord query gave chi^2=42.1 (FLAG tier; cleanest of the FLAG-tier promotions). Pourbaix SB1 mass function: P=358.7 d, M_2_marg=25.1 MJ (1sig 22-41 MJ).",0.83,SB1 cascade + Tycho-Gaia 25-yr PMa chi^2=42.1 (FLAG-tier),TENTATIVE_SB1_TYCHO_GAIA_PMA_FLAG_STRONG_BD,"NEW in v1.16.0 (2026-05-17) Tycho-Gaia PMa expansion. HD-named bright (V=7.34) nearby (d=75 pc) target. RUWE=2.40 = mild orbital-reflex residual. Tycho-Gaia PMa chi^2 = 42.1 is at the lower end of FLAG tier — closer to CORROBORATED than to REJECT, so mass-ambiguity is less severe than the higher-chi^2 FLAG candidates. P=358.7 d ~ one Gaia DR3 baseline cycle, well-constrained. Mass posterior 22-41 MJ entirely below D-burning at 1-sigma_hi. Southern target (Dec=-56.7) — CHIRON, FEROS, CORALIE accessible.",low,0.95,0.83,0.789,substellar_BD
HD 221068,,6501674149261991424,8.83,,72,filter_survivor_sb1_substellar_candidate_tycho_gaia_pma_flag,nss_sb1,62.43,21,18,33,,,,4.06,,"NOT in HIP (Gaia xmatch miss). NOT in SB9. NOT in exoplanet.eu. NOT in Sahlmann 2025. NOT seen by v9b cascade. SIMBAD obj_type=SB*. Tycho-2 PM via Vizier I/259/tyc2 coord query gave chi^2=76.9 (FLAG tier). Pourbaix SB1 mass function: P=62.4 d, M_2_marg=20.6 MJ (1sig 18-33 MJ).",0.83,SB1 cascade + Tycho-Gaia 25-yr PMa chi^2=76.9 (FLAG-tier),TENTATIVE_SB1_TYCHO_GAIA_PMA_FLAG_STRONG_BD,NEW in v1.16.0 (2026-05-17) Tycho-Gaia PMa expansion. HD-named (V=8.83) nearby (d=72 pc) target. RUWE=4.06 is moderately high (close-in orbital reflex). Tycho-Gaia PMa chi^2 = 76.9 in middle of FLAG tier. P=62.4 d is short; mass-marginalized 21 MJ with 1-sigma_hi at 33 MJ (clearly substellar at 1-sigma). The high chi^2 indicates significant unmodeled astrometric residual but the SB1 fit's K_1 is consistent with a substellar companion. Southern target (Dec=-51.6) — accessible from ESO.,low_to_moderate,0.95,0.83,0.789,substellar_BD
HD 22782,,3263449574661483776,7.23,,465,filter_survivor_sb1_substellar_candidate_widened_tycho_corroborated,nss_sb1,14.31,11,10,19,,,,1.03,,"NOT in HIP (V=7.23 bright but Gaia DR3 xmatch missed it). NOT in SB9. NOT in exoplanet.eu. NOT in Sahlmann 2025. NOT in original v1.16.0 SB1 pool (failed plx>5 cut: plx=2.15 mas, d=465 pc). SIMBAD obj_type=SB*. Tycho-Gaia chi^2 = 18.7 (CORROBORATED tier). Pourbaix SB1: P=14.31 d, e=0.33, K_1=0.878 km/s, sig=11.2. M_2_marg = 11.5 MJ (1σ 10-19 MJ).",0.98,Widened SB1 cascade + Tycho-Gaia CORROBORATED chi^2=18.7,TENTATIVE_SB1_WIDENED_TYCHO_CORROB_PLANET_MASS_BOUNDARY,"NEW from v1.16.0 widened SB1 pool processing (V<13, plx>2, sig>=3, P 10-10000d; 31,668 sources). HD 22782 has **the smallest M_2_marg of any candidate in the entire project at 11.5 MJ** — at or below the deuterium-burning boundary (~13 MJ). 1σ lower bound 10.1 MJ is below the planet/BD definitional boundary. RUWE=1.03 (the lowest of any candidate; astrometrically quiet host — strong evidence the SB1 fit reflects the true companion mass, not an extreme-inclination artifact). Tycho-Gaia 25-yr PMa chi²=18.7 in CORROBORATED tier (5-30). P=14.3d short-period; K=0.88 km/s amplitude is easily ground-detectable. d=465 pc is farther than the original <200 pc cut, but the SB1 + Tycho-Gaia + low-RUWE combination provides three independent witnesses despite the distance. Equatorial target (Dec=-0.8) — reachable from any major facility. Most important new candidate from the widened SB1 push.",low,0.98,0.98,0.96,substellar_BD
HD 1912,,4973040553553278080,7.05,,486,filter_survivor_sb1_substellar_candidate_widened_tycho_corroborated,nss_sb1,520.85,16,14,25,,,,1.01,,"NOT in HIP at 5 arcsec (Gaia DR3 xmatch missed it). NOT in SB9. NOT in exoplanet.eu. NOT in Sahlmann 2025. NOT in original SB1 pool (plx=2.06 mas, d=486 pc). SIMBAD obj_type=SB*. Tycho-Gaia chi^2 = 12.9 (CORROBORATED tier). Pourbaix SB1: P=520.85 d, e=0.10, K_1=0.339 km/s, sig=9.2. M_2_marg=15.5 MJ (1σ 14-25 MJ).",0.95,Widened SB1 cascade + Tycho-Gaia CORROBORATED chi^2=12.9,TENTATIVE_SB1_WIDENED_TYCHO_CORROBORATED_BD,"NEW from v1.16.0 widened SB1 pool. RUWE=1.01 = astrometrically quietest host in the entire candidate pool. Long-period (521 d, well-matched to Gaia DR3 baseline of ~5 years), low eccentricity (e=0.10). M_2_marg 15.5 MJ (1σ 14-25) entirely within the BD regime. Distance 486 pc places this in the more-distant subset; bright (V=7.05) so confirmation RV is straightforward. Southern target (Dec=-50.5) — CHIRON, FEROS, CORALIE.",low,0.97,0.95,0.922,substellar_BD
HD 90072,,5448579916683166592,7.75,,476,filter_survivor_sb1_substellar_candidate_widened_tycho_corroborated,nss_sb1,327.32,19,17,30,,,,1.03,,"NOT in HIP at 5 arcsec (Gaia DR3 xmatch missed it). NOT in SB9. NOT in exoplanet.eu. NOT in Sahlmann 2025. NOT in original SB1 pool (plx=2.10 mas, d=476 pc). SIMBAD obj_type=SB*. Tycho-Gaia chi^2 = 8.6 (CORROBORATED tier, low end). Pourbaix SB1: P=327.32 d, e=0.16, K_1=0.486 km/s, sig=13.6. M_2_marg=19.0 MJ (1σ 17-30 MJ).",0.93,Widened SB1 cascade + Tycho-Gaia CORROBORATED chi^2=8.6,TENTATIVE_SB1_WIDENED_TYCHO_CORROBORATED_BD,"NEW from v1.16.0 widened SB1 pool. RUWE=1.03 = ultra-clean astrometry. P=327d ~ one Gaia DR3 baseline cycle, very high significance (13.6). Mass posterior 17-30 MJ entirely in BD regime. d=476 pc, southern (Dec=-32.6) — ESO accessible. Tycho-Gaia chi² at the low end of CORROBORATED tier but consistent with the SB1 + low-RUWE evidence package.",low,0.95,0.93,0.884,substellar_BD
TYC 4291-119-1,,2213545433332982528,9.98,,255,filter_survivor_sb1_substellar_candidate_widened502_tycho_corroborated,nss_sb1,16.62,35,31,56,,,,0.84,,"NOT in HIP. NOT in SB9. NOT in exoplanet.eu. NOT in Sahlmann 2025. NOT in original 3,049 SB1 pool (eccentricity slightly below threshold or marginalized after widening). NOT in cascade widened-66 (M_2_marg above 30 MJ). SIMBAD obj_type=SB*. Tycho-Gaia chi^2 = 17.15 (CORROBORATED tier; strongest of widened-502 cascade). Pourbaix SB1: P=16.6 d, e=0.20, K_1=1.85 km/s, sig=12.4. M_2_marg=34.9 MJ (1σ 31-56 MJ).",0.93,Widened-502 cascade + Tycho-Gaia CORROBORATED chi^2=17.15,TENTATIVE_SB1_WIDENED502_TYCHO_CORROBORATED_BD,"NEW in v1.16.0 widened-502 cascade (additional 502 substellar candidates from widened pool with M_2_marg 30-80 MJ, complementing the strong-BD 66 already vetted). Top pick by chi^2: TYC 4291-119-1 has the LOWEST RUWE of any widened-502 candidate (0.84 < 1.0; statistically below single-star baseline). High Tycho-Gaia chi^2 (17.1) makes this CORROBORATED-tier with strong PMa signal. d=255 pc, V=9.98 northern (Dec=+67). Period 16.6 d short — easy ground RV follow-up at K=1.85 km/s amplitude.",low,0.95,0.93,0.884,substellar_BD
HD 114124,,1529010560697713280,7.54,,303,filter_survivor_sb1_substellar_candidate_widened502_tycho_corroborated,nss_sb1,1179.01,34,29,56,,,,1.06,,"NOT in HIP. NOT in SB9. NOT in exoplanet.eu. NOT in Sahlmann 2025. SIMBAD obj_type=SB*. Tycho-Gaia chi^2 = 11.5 (CORROBORATED tier). Pourbaix SB1: P=1179 d (3.2 yr), e=0.53, K_1=0.642 km/s, sig=5.9. M_2_marg=33.6 MJ (1σ 29-56 MJ).",0.92,Widened-502 cascade + Tycho-Gaia CORROBORATED chi^2=11.5,TENTATIVE_SB1_WIDENED502_TYCHO_CORROBORATED_BD,"NEW in v1.16.0 widened-502 cascade. HD-named, V=7.54 bright (easy follow-up). Long-period P=1179 d (~3.2 yr) — well within Gaia DR3 baseline. e=0.53 highly eccentric. RUWE=1.06 clean. M_2_marg=33.6 MJ entirely in BD regime at 1σ_lo=29 MJ. d=303 pc, northern (Dec=+42).",low,0.94,0.92,0.865,substellar_BD
