gaia_dr3,name,pulsation_claim(source;strength),magnetic_claim(source),own_spectral_check,literature_status,verdict,confidence,evidence_files
2377863773908424448,Feige 7 (BV Cet),"VSX type ZZ; SIMBAD Pu* (from GCVS 5.1)","DBAP/DAH, ~20 MG, 2.2 h rotation (Liebert+1977; Achilleos+1992)","not needed","known rotator","catalogue misclassification (VSX/GCVS/SIMBAD)","secure","-"
2660358032257156736,G 29-38 (ZZ Psc),"textbook ZZ Ceti","MWDD ismag=yes","not needed","Bagnulo&Landstreet 2021: Holberg+2016 'erroneously lists this WD as magnetic'; <Bz>=0.0+-0.5 kG, Bs<50 kG","spurious magnetic flag (already refuted in literature; still in MWDD)","secure (flag spurious)","-"
1855295171732158080;2376592910265354368;6324298665725984512;5414927915911816704;4637921057358156416;3251245339191040256,"MWP 1; NGC 246; LW Lib; Lo 4; WD 0121-756; SDSS J0349-0059 (GW Vir/PG1159)","GW Vir pulsators (VSX ZZO/TESS)","MWDD ismag=yes only","not checked","no field detection found in ADS for these stars (CSPN field claims generally not confirmed: Leone+2011/2014, Asensio Ramos+2014, Steffen+2014)","MWDD ismag flag unsupported","probable (flag spurious)","-"
2811321837744375936,KUV 23162+1220,"Vincent+2020 table 4 NOV (in strip, 11.6-11.7 kK); SIMBAD Pu* is an ingest artefact of Vincent table 1","45 MG (Gianninas+2011; Kawka+2007); Moss+2025; DESI DAH","not needed","known magnetic; NOV","magnetic NOV in the strip: consistent with suppression","secure","-"
1353302001211658368,J1652+4110,"Vincent+2020 NOV (11.1 kK)","50 MG (Moss+2025); Kilic+2025 DAH; DESI DAH","not needed","known magnetic","magnetic NOV: consistent with suppression","secure","-"
1317275544951049472,J1607+2933,"Vincent+2020 NOV (10.9-11.1 kK)","DESI DR1 DAH (Amorim+26 and Swan+26); Kilic+2020/2025 = DA","DESI: split Hbeta/Hgamma/Halpha cores, zfit B=1.23 MG","magnetism only in DESI catalogue tables; the NOV<->magnetic link is not discussed (ADS full text: Kilic+2020 and Vincent IAUS only)","~1.2 MG magnetic NOV inside the strip: supports the Jewett+2025 weak-field suppression idea; a weak field missed by Kilic+2020 low-res spectra","probable","/tmp/fanout/magpuls/plots/Vincent_candidates_DESI_DAH.png"
1306197930941817984,J1655+2533 (WD 1653+256),"Curd+2017 NOV (Jewett+2025 table)","Kepler+2013 1.0 MG; Amorim+2023 2.76 MG; Swan+26 DA","SDSS 1692 (S/N 29) + BOSS 4180 (S/N 37): no triplet at >=2 MG; <=1 MG not excluded (1.29 Msun, broad lines)","not discussed","magnetic label unconfirmed","possible","/tmp/fanout/magpuls/plots/magnetic_NOVs_J1552_J1655.png"
4410623858974488832,J1552+0039,"Jewett+2025 NOV (1.245 Msun; spectroscopic Teff >14 kK)","Amorim+2023 2.16 MG; Kepler+2019/Kleinman+2013 DAH; Amorim+26 DESI DAH:; Swan+26 DA","SDSS 342 (S/N 13) looks flat-cored, but DESI DR1 profiles match 3 non-magnetic ultramassive DAs of similar Teff/logg","Jewett+2025 fit it with non-magnetic models and did not mention the catalogued DAH","magnetic label unconfirmed","possible","/tmp/fanout/magpuls/plots/J1552+0039_vs_ultramassive_DA_DESI.png"
2170187399180847872;3630648387747801088;4490483248223416576;963601717022097152;1322796261553165824,"J2100+5142; J1339-0713; J1723+0836; J0602+4652; J1612+3255","Vincent+2020 table-1 CANDIDATES only (no time series); SIMBAD otype Pu* comes from ingesting that candidate table","DAH 60/30/44 MG, DQH?, 11 MG (Jewett+2024; Moss+2025; DESI)","J1612+3255 DESI triplet obvious (7-11 MG)","magnetism published; J2100+5142 has a 149-min ZTF rotation period (Jewett+2024)","SIMBAD label conflict only (Pu* on known magnetic WDs that were never shown to pulsate)","secure (artefact)","/tmp/fanout/magpuls/plots/Vincent_candidates_DESI_DAH.png"
1158050898150073472,WDJ145545.58+041508.67,"Jestin+2026 'Unknown_type' (paper groups these as GW Vir candidates by HR position); ZTF 0.814 c/d (1.23 d)","Kepler+2019 DAH","SDSS-V S/N 44: hot, shallow Balmer features; no clear triplet","none","a 1.23-d photometric period is rotation/binary, not GW Vir pulsation; magnetic label unverified","possible","/tmp/fanout/magpuls/plots/sdssv_screen_top.png"
1545014807135001088,WD J121929.50+471522.94 (WD 1217+475),"VizieR J/ApJ/912/125 table6 'newly confirmed ZZ Cetis' row, BUT the paper flags it as a non-pulsator (WMP dagger); P=54949 s","DAHe (Reding/Gaensicke; Swan+26 DAHE; MWDD)","not needed","known DAHe with 15.26 h period","no conflict in the paper itself; the VizieR table description is misleading","secure (no conflict)","-"
