channel,epoch_window,mjd_night,pred_RA,pred_Dec,pred_V,SMAA_3s_as,SMIA_3s_as,raw_in_ellipse,stationary_star_rejected,survivors_after_stationarity,neg_ctrl_in_ellipse,chain_result
PS1_DR2,2010-2012_postarc,55250,252.25144,-26.06132,22.81,6.92,2.25,0,,,0,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,55280,252.29687,-26.12182,22.78,7.13,2.3,0,,,0,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,55330,251.60672,-26.11672,22.66,6.68,2.38,0,,,0,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,55333,251.54586,-26.11244,22.65,6.63,2.39,0,,,4,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,55335,251.50338,-26.1093,22.64,6.6,2.39,2,,,3,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,55364,250.87791,-26.04912,22.64,6.18,2.42,4,,,0,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,55366,250.83512,-26.04412,22.64,6.16,2.42,0,,,0,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,55367,250.81482,-26.0417,22.65,6.14,2.43,2,,,0,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,55422,250.04079,-25.91507,22.77,5.83,2.45,0,,,0,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,55431,250.01476,-25.90238,22.78,5.84,2.45,0,,,0,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,55636,253.74625,-26.39702,22.77,9.71,2.65,0,,,1,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,55637,253.74562,-26.39883,22.77,9.71,2.65,2,,,0,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,55705,252.84663,-26.40529,22.61,9.12,2.76,0,,,5,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,55711,252.71625,-26.39536,22.59,9.01,2.77,0,,,4,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,55789,251.44326,-26.22462,22.75,8.04,2.81,0,,,2,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,55791,251.43478,-26.22145,22.75,8.03,2.81,0,,,0,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,56006,255.18055,-26.68283,22.75,12.79,3.02,10,,,5,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,56014,255.15107,-26.69566,22.74,12.83,3.03,0,,,0,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,56059,254.54275,-26.70887,22.64,12.4,3.12,15,,,11,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,56068,254.35739,-26.69979,22.61,12.22,3.13,4,,,0,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,56155,252.86876,-26.52434,22.73,10.75,3.18,0,,,0,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,56172,252.84692,-26.50169,22.75,10.72,3.17,0,,,4,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,56351,256.57368,-26.90083,22.75,15.98,3.33,0,,,0,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,56396,256.4767,-26.98149,22.69,16.34,3.44,4,,,3,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,56404,256.37248,-26.98634,22.67,16.28,3.45,3,,,0,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,56427,255.96835,-26.9831,22.61,15.9,3.49,1,,,1,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,56470,255.03417,-26.91914,22.6,14.84,3.54,10,,,8,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,56471,255.01358,-26.91706,22.6,14.82,3.54,5,,,12,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,56501,254.49703,-26.85116,22.68,14.19,3.56,3,,,2,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,56523,254.30476,-26.80889,22.71,13.95,3.55,1,,,3,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,56543,254.30417,-26.78335,22.74,13.92,3.54,4,,,0,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,56544,254.3087,-26.7825,22.74,13.92,3.54,0,,,0,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,56733,258.11737,-27.19154,22.72,20.23,3.74,5,,,13,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,56755,258.03011,-27.22999,22.69,20.4,3.79,0,,,6,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
PS1_DR2,2010-2012_postarc,56756,258.02133,-27.23125,22.68,20.4,3.79,2,,,4,NULL (in-ellipse counts <= neg control; PS1 depth ~21.5-22 at/below V~22.7)
NSC/pre-2012,2005-07_pinpoint_IN-ARC,~53552,243.71105,-24.30222,22.79,1.85,0.79,n/a,,,,"NOT SEARCHED at catalog level: pre-NSC(~2012) era + INSIDE discovery arc (2001-2007, low novelty). Deep opt=CFHT/MegaCam 2006 (21 frames) via CADC Datalink = remaining pixel-level EV only."
