night,instrument,n_frames,mjd,gal_l,gal_b,pred_RA,pred_Dec,pred_V,SMAA_3sig_as,SMIA_3sig_as,depth,channel,n_inbox,n_inbox_negctrl,chain_result,note
2013-07-17,ESO2.2-WFI,5,56490.982,3.0,6.0,262.53146,-23.15737,22.62,45.9,4.69,~23 R (pixel-only),ESO2.2m_WFI,,,NO_CATALOG,pixel-only; not searched
2013-07-28,PS1,2,56501.311,3.0,6.2,262.36372,-23.15081,22.65,45.31,4.69,~21.5-22 single-epoch,PS1_DR2_MAST_detection,,,NOT_SEARCHED_redundant,"SMAA>30 larger box, same bulge-saturated regime as searched PS1 nights; not separately queried"
2013-08-08,PS1,1,56512.297,2.9,6.3,262.22028,-23.14543,22.67,44.78,4.68,~21.5-22 single-epoch,PS1_DR2_MAST_detection,,,NOT_SEARCHED_redundant,"SMAA>30 larger box, same bulge-saturated regime as searched PS1 nights; not separately queried"
2013-08-12,PS1,1,56516.267,2.9,6.3,262.17862,-23.14397,22.68,44.62,4.68,~21.5-22 single-epoch,PS1_DR2_MAST_detection,,,NOT_SEARCHED_redundant,"SMAA>30 larger box, same bulge-saturated regime as searched PS1 nights; not separately queried"
2013-08-21,PS1,6,56525.25,2.8,6.4,262.10615,-23.14174,22.69,44.32,4.68,~21.5-22 single-epoch,PS1_DR2_MAST_detection,,,NOT_SEARCHED_redundant,"SMAA>30 larger box, same bulge-saturated regime as searched PS1 nights; not separately queried"
2013-09-09,PS1,1,56544.246,2.8,6.4,262.06012,-23.14241,22.72,44.04,4.67,~21.5-22 single-epoch,PS1_DR2_MAST_detection,,,NOT_SEARCHED_redundant,"SMAA>30 larger box, same bulge-saturated regime as searched PS1 nights; not separately queried"
2014-03-30,VISTA,6,56746.293,4.5,3.4,265.77947,-23.31054,22.71,60.18,4.92,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2014-04-09,PS1,1,56756.644,4.5,3.4,265.74121,-23.31046,22.69,60.43,4.95,~21.5-22 single-epoch,PS1_DR2_MAST_detection,,,NOT_SEARCHED_redundant,"SMAA>30 larger box, same bulge-saturated regime as searched PS1 nights; not separately queried"
2014-04-23,VISTA,12,56770.365,4.4,3.5,265.62397,-23.30857,22.67,60.48,4.99,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2014-05-21,VISTA,12,56798.356,4.2,3.9,265.19012,-23.29879,22.6,59.68,5.06,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2014-05-27,VISTA,6,56804.179,4.2,4.0,265.07597,-23.2959,22.58,59.38,5.08,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2014-06-02,VISTA,24,56810.159,4.1,4.1,264.95321,-23.29269,22.56,59.04,5.09,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2014-06-06,VISTA,22,56814.113,4.1,4.1,264.86981,-23.29044,22.55,58.8,5.09,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2014-06-24,VST,38,56832.24,3.9,4.4,264.47877,-23.27938,22.54,57.55,5.12,~21-22 g (39s) marginal,VST_OMEGACAM,,,MARGINAL_no_catalog,39s g~21-22; object V22.6 marginal; no ready catalog channel; pixel-only
2014-08-03,VISTA,35,56872.15,3.6,5.0,263.7461,-23.25719,22.65,54.84,5.13,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2015-06-26,VISTA,4,57199.025,4.5,3.3,265.92267,-23.36846,22.54,68.5,5.56,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2015-07-13,VISTA,12,57216.29,4.4,3.6,265.56751,-23.36099,22.6,67.13,5.57,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2015-08-04,VISTA,12,57238.217,4.2,3.8,265.20033,-23.35293,22.65,65.56,5.57,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2015-08-18,VISTA,12,57252.186,4.1,4.0,265.04214,-23.34975,22.68,64.8,5.56,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2015-08-19,VISTA,6,57253.148,4.1,4.0,265.03386,-23.34961,22.68,64.75,5.56,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2015-08-27,VISTA,32,57261.122,4.1,4.0,264.97913,-23.34886,22.7,64.44,5.55,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2015-08-28,VISTA,56,57262.058,4.1,4.0,264.97439,-23.34883,22.7,64.41,5.55,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2015-09-02,VST,2,57267.997,4.1,4.0,264.95259,-23.34887,22.7,64.25,5.54,~21-22 g (39s) marginal,VST_OMEGACAM,,,MARGINAL_no_catalog,39s g~21-22; object V22.6 marginal; no ready catalog channel; pixel-only
2015-09-03,VST,45,57268.058,4.1,4.0,264.95242,-23.34887,22.7,64.25,5.54,~21-22 g (39s) marginal,VST_OMEGACAM,,,MARGINAL_no_catalog,39s g~21-22; object V22.6 marginal; no ready catalog channel; pixel-only
2015-09-12,VISTA,30,57277.052,4.1,4.0,264.94785,-23.34983,22.72,64.12,5.53,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2015-09-14,VISTA,2,57280.0,4.1,4.0,264.95394,-23.35039,22.72,64.11,5.53,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2015-09-15,VISTA,22,57280.003,4.1,4.0,264.95395,-23.35039,22.72,64.11,5.53,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2016-06-07,DECam,64,57546.279,5.3,1.8,267.79242,-23.4485,22.55,81.94,5.97,~23.5-24 r,NSC_DR2_DECam_TAP,,,SERVICE_DOWN,"NoirLab Astro Data Lab TAP returned 502/504/timeout during run (service-degraded 2026-07-07); box 49-122"" in bulge (b=+4.6..-2.4) -> same/worse crowding than PS1 null"
2016-07-01,VST,38,57570.23,5.1,2.2,267.27684,-23.44334,22.55,80.01,6.0,~21-22 g (39s) marginal,VST_OMEGACAM,,,MARGINAL_no_catalog,39s g~21-22; object V22.6 marginal; no ready catalog channel; pixel-only
2016-07-07,VISTA,12,57576.126,5.0,2.3,267.15418,-23.44187,22.57,79.5,6.0,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2016-08-11,DECam,12,57611.143,4.8,2.7,266.5716,-23.43423,22.66,76.78,6.0,~23.5-24 r,NSC_DR2_DECam_TAP,,,SERVICE_DOWN,"NoirLab Astro Data Lab TAP returned 502/504/timeout during run (service-degraded 2026-07-07); box 49-122"" in bulge (b=+4.6..-2.4) -> same/worse crowding than PS1 null"
2017-06-24,VISTA,12,57928.228,5.8,0.8,268.91774,-23.50721,22.51,93.62,6.43,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2017-06-29,VISTA,16,57933.328,5.8,0.9,268.80771,-23.50701,22.54,93.16,6.43,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2018-05-01,VISTA,14,58239.383,6.9,-1.2,271.41065,-23.54185,22.66,110.65,6.74,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2018-05-25,VISTA,24,58263.37,6.7,-0.9,271.03406,-23.54841,22.6,109.9,6.81,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2018-08-06,VISTA,16,58336.009,6.1,0.3,269.59556,-23.55971,22.64,103.46,6.86,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2018-08-13,VISTA,12,58343.08,6.0,0.4,269.50175,-23.56003,22.66,102.89,6.86,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2018-08-27,VISTA,8,58357.045,6.0,0.5,269.36863,-23.56065,22.68,101.95,6.84,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2018-08-31,VISTA,8,58361.04,6.0,0.5,269.34436,-23.56085,22.69,101.74,6.84,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2018-09-02,VISTA,8,58363.053,6.0,0.5,269.33456,-23.56096,22.7,101.65,6.83,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2018-09-05,VISTA,6,58366.037,6.0,0.5,269.32313,-23.56112,22.7,101.52,6.83,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2018-09-06,VISTA,18,58367.01,6.0,0.5,269.32021,-23.56118,22.7,101.49,6.83,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2018-09-11,VISTA,6,58372.004,6.0,0.5,269.31154,-23.56149,22.71,101.33,6.82,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2019-03-10,DECam,8,58552.333,7.6,-2.4,272.93706,-23.55578,22.73,122.19,6.95,~23.5-24 r,NSC_DR2_DECam_TAP,,,SERVICE_DOWN,"NoirLab Astro Data Lab TAP returned 502/504/timeout during run (service-degraded 2026-07-07); box 49-122"" in bulge (b=+4.6..-2.4) -> same/worse crowding than PS1 null"
2019-03-11,DECam,8,58553.33,7.6,-2.4,272.94714,-23.55577,22.73,122.31,6.96,~23.5-24 r,NSC_DR2_DECam_TAP,,,SERVICE_DOWN,"NoirLab Astro Data Lab TAP returned 502/504/timeout during run (service-degraded 2026-07-07); box 49-122"" in bulge (b=+4.6..-2.4) -> same/worse crowding than PS1 null"
2019-03-25,VISTA,4,58567.301,7.6,-2.5,273.04331,-23.55645,22.72,123.79,7.01,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2019-07-26,DECam,26,58690.143,6.8,-1.1,271.25991,-23.59894,22.61,119.17,7.3,~23.5-24 r,NSC_DR2_DECam_TAP,,,SERVICE_DOWN,"NoirLab Astro Data Lab TAP returned 502/504/timeout during run (service-degraded 2026-07-07); box 49-122"" in bulge (b=+4.6..-2.4) -> same/worse crowding than PS1 null"
2019-08-15,VISTA,12,58710.2,6.7,-0.8,270.95804,-23.60259,22.66,117.26,7.28,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
